size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
96, 6.585, 0.006000, 0.050000, 51.834000, 0.002000, 0.079000, 0.015000, 0.004000, 
160, 7.322, 0.008000, 0.096000, 62.530000, 0.003000, 0.037000, 0.006000, 0.005000, 
192, 7.585, 0.009000, 0.327000, 82.413000, 0.003000, 0.026000, 0.007000, 0.006000, 
384, 8.585, 0.015000, 0.365000, 118.255000, 0.004000, 0.042000, 0.022000, 0.025000, 
480, 8.907, 0.016000, 0.308000, 186.827000, 0.003000, 0.064000, 0.026000, 0.022000, 
640, 9.322, 0.021000, 0.115000, 137.118000, 0.006000, 0.070000, 0.027000, 0.027000, 
768, 9.585, 0.040000, 0.570000, 161.259000, 0.009000, 0.087000, 0.033000, 0.029000, 
800, 9.644, 0.025000, 0.092000, 141.985000, 0.005000, 0.091000, 0.034000, 0.020000, 
2400, 11.229, 0.063000, 0.168000, 0.168000, 0.017000, 0.242000, 0.044000, 0.045000, 
9216, 13.170, 0.253000, 0.424000, 0.424000, 0.057000, 0.985000, 0.138000, 0.101000, 
