size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
96, 6.585, 1.840824, 0.386364, 0.345845, 3.641998, 4.531390, 0.835768, 1.000000, 
160, 7.322, 2.316047, 0.426684, 0.374112, 5.399595, 5.101969, 0.818322, 1.000000, 
192, 7.585, 2.356951, 0.449305, 0.393437, 4.259740, 4.446568, 0.814266, 1.000000, 
384, 8.585, 2.334451, 0.451780, 0.397568, 4.327464, 5.245761, 0.885197, 1.000000, 
480, 8.907, 2.165258, 0.944391, 0.505877, 2.784142, 3.227554, 0.750368, 1.000000, 
640, 9.322, 2.563845, 0.458132, 0.414932, 6.146780, 5.667525, 0.849957, 1.000000, 
768, 9.585, 2.684200, 0.776057, 0.446336, 5.061653, 5.149547, 0.976831, 1.000000, 
800, 9.644, 2.710326, 0.779286, 0.610904, 4.610087, 4.325597, 0.872439, 1.000000, 
2400, 11.229, 2.726020, 0.811479, 0.811479, 5.661827, 5.406579, 0.887607, 1.000000, 
9216, 13.170, 2.646148, 1.023598, 1.023598, 6.391981, 6.305186, 0.911891, 1.000000, 
