size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
96, 6.585, 151560.000000, 712332.000000, 793164.000000, 75780.000000, 60624.000000, 328380.000000, 277860.000000, 
160, 7.322, 77940.000000, 420876.000000, 480630.000000, 33774.000000, 36372.000000, 220830.000000, 179262.000000, 
192, 7.585, 67115.000000, 344235.000000, 394030.000000, 36805.000000, 36805.000000, 190520.000000, 155880.000000, 
384, 8.585, 32198.000000, 162884.000000, 184665.000000, 17046.000000, 14205.000000, 83336.000000, 73866.000000, 
480, 8.907, 21953.000000, 49205.000000, 92354.000000, 16654.000000, 14383.000000, 62074.000000, 46934.000000, 
640, 9.322, 16665.000000, 93425.000000, 103020.000000, 7070.000000, 7575.000000, 50500.000000, 42925.000000, 
768, 9.585, 13472.000000, 45889.000000, 79569.000000, 7157.000000, 7157.000000, 36206.000000, 35364.000000, 
800, 9.644, 12120.000000, 41612.000000, 52924.000000, 7272.000000, 7676.000000, 37168.000000, 32320.000000, 
2400, 11.229, 3300.000000, 10670.000000, 10670.000000, 1540.000000, 1650.000000, 9790.000000, 8690.000000, 
9216, 13.170, 768.000000, 1944.000000, 1944.000000, 336.000000, 336.000000, 2184.000000, 1992.000000, 
