size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
96, 6.585, 6279.510011, 29918.625525, 33423.793706, 3173.933427, 2550.977794, 13830.961540, 11559.483615, 
160, 7.322, 6035.893287, 32762.972990, 37367.081312, 2588.974979, 2740.005979, 17083.064534, 13979.401426, 
192, 7.585, 6363.889520, 33383.532894, 38123.994807, 3521.192525, 3373.249963, 18420.729686, 14999.407932, 
384, 8.585, 6890.055570, 35602.498576, 40456.913917, 3716.847897, 3066.181701, 18170.415095, 16084.425181, 
480, 8.907, 6100.396825, 13986.762642, 26111.109112, 4744.359212, 4092.547075, 17603.406577, 13208.958037, 
640, 9.322, 6608.438437, 36982.902798, 40833.437685, 2756.403218, 2989.489284, 19934.016318, 16943.017064, 
768, 9.585, 6460.468533, 22345.290253, 38852.417916, 3425.986308, 3367.560570, 17752.711714, 17341.244052, 
800, 9.644, 6131.313947, 21324.342915, 27201.835781, 3604.642503, 3841.752054, 19047.365457, 16617.675582, 
2400, 11.229, 5692.355808, 19122.542846, 0.000000, 2740.707660, 2870.115280, 17482.527828, 15517.479085, 
9216, 13.170, 6082.561444, 15724.308554, 0.000000, 2518.040089, 2552.699609, 17650.524955, 16095.293803, 
