size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
96, 6.585, 0.152575, 0.150510, 0.150014, 0.150932, 0.150232, 0.150089, 0.151954, 
160, 7.322, 0.151274, 0.150493, 0.150684, 0.152827, 0.155511, 0.151439, 0.150226, 
192, 7.585, 0.153586, 0.150168, 0.150517, 0.152220, 0.158896, 0.150622, 0.151346, 
384, 8.585, 0.154055, 0.150823, 0.150474, 0.151188, 0.152726, 0.151195, 0.151394, 
480, 8.907, 0.153852, 0.150404, 0.151216, 0.150075, 0.150253, 0.150758, 0.151910, 
640, 9.322, 0.150450, 0.150712, 0.150519, 0.153025, 0.151172, 0.151141, 0.151149, 
768, 9.585, 0.153504, 0.151173, 0.150757, 0.153779, 0.156447, 0.150130, 0.150118, 
800, 9.644, 0.152507, 0.150551, 0.150105, 0.155644, 0.154151, 0.150548, 0.150052, 
2400, 11.229, 0.156231, 0.150371, 0.150371, 0.151427, 0.154928, 0.150912, 0.150919, 
9216, 13.170, 0.153250, 0.150055, 0.150055, 0.161958, 0.159759, 0.150183, 0.150216, 
