size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
16, 4.000, 0.004000, 0.065000, 0.265000, 0.001000, 0.019000, 0.002000, 0.001000, 
32, 5.000, 0.005000, 0.165000, 4.852000, 0.002000, 0.009000, 0.003000, 0.003000, 
64, 6.000, 0.006000, 0.092000, 15.292000, 0.004000, 0.011000, 0.014000, 0.014000, 
128, 7.000, 0.018000, 0.089000, 29.397000, 0.003000, 0.036000, 0.014000, 0.015000, 
256, 8.000, 0.012000, 0.102000, 46.042000, 0.010000, 0.028000, 0.008000, 0.018000, 
512, 9.000, 0.028000, 0.070000, 64.384000, 0.003000, 0.042000, 0.031000, 0.026000, 
1024, 10.000, 0.035000, 0.059000, 85.886000, 0.005000, 0.088000, 0.022000, 0.027000, 
2048, 11.000, 0.056000, 0.057000, 120.673000, 0.011000, 0.150000, 0.041000, 0.037000, 
4096, 12.000, 0.128000, 0.062000, 0.062000, 0.017000, 0.226000, 0.059000, 0.059000, 
8192, 13.000, 0.223000, 0.166000, 0.166000, 0.030000, 0.461000, 0.098000, 0.102000, 
16384, 14.000, 0.448000, 0.158000, 0.158000, 0.065000, 0.907000, 0.265000, 0.168000, 
32768, 15.000, 0.871000, 0.175000, 0.175000, 0.118000, 2.029000, 0.316000, 0.315000, 
65536, 16.000, 1.759000, 0.228000, 0.228000, 0.361000, 3.901000, 0.788000, 0.623000, 
131072, 17.000, 3.518000, 0.349000, 0.349000, 0.426000, 7.873000, 1.572000, 1.228000, 
262144, 18.000, 7.028000, 0.541000, 0.541000, 0.844000, 15.678000, 3.136000, 2.481000, 
524288, 19.000, 14.584000, 3.521000, 3.521000, 1.601000, 32.378000, 6.209000, 6.755000, 
1048576, 20.000, 29.838000, 3.911000, 3.911000, 3.054000, 64.178000, 12.114000, 9.741000, 
