size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
16, 4.000, 1.698719, 0.915290, 0.916511, 2.561174, 1.970501, 0.803808, 1.000000, 
32, 5.000, 2.090792, 0.951733, 0.456440, 2.413547, 3.072823, 0.858280, 1.000000, 
64, 6.000, 2.079089, 0.480367, 0.462068, 2.726952, 3.458224, 0.822189, 1.000000, 
128, 7.000, 1.974282, 0.453933, 0.538421, 3.503226, 3.792186, 0.784636, 1.000000, 
256, 8.000, 2.577981, 0.520055, 0.440906, 3.474550, 3.598729, 0.841652, 1.000000, 
512, 9.000, 2.123065, 0.424581, 0.376567, 3.053538, 3.729763, 0.919155, 1.000000, 
1024, 10.000, 2.586247, 0.495366, 0.500152, 4.094845, 3.661659, 0.849407, 1.000000, 
2048, 11.000, 2.392669, 0.421372, 0.424329, 3.167618, 3.348719, 0.796345, 1.000000, 
4096, 12.000, 2.396713, 0.567980, 0.567980, 3.093132, 2.957149, 0.870889, 1.000000, 
8192, 13.000, 2.202906, 0.740955, 0.740955, 3.113652, 3.348490, 0.907712, 1.000000, 
16384, 14.000, 2.592230, 0.731153, 0.731153, 3.384082, 2.968757, 0.898381, 1.000000, 
32768, 15.000, 2.152662, 0.717920, 0.717920, 2.862770, 3.312454, 0.909214, 1.000000, 
65536, 16.000, 2.868032, 0.770067, 0.770067, 3.022202, 3.405709, 0.941961, 1.000000, 
131072, 17.000, 2.650402, 0.726449, 0.726449, 2.893785, 3.669151, 0.926019, 1.000000, 
262144, 18.000, 3.047683, 0.776772, 0.776772, 2.640823, 3.477548, 0.927187, 1.000000, 
524288, 19.000, 1.716331, 1.093533, 1.093533, 1.500858, 2.923012, 0.626022, 1.000000, 
1048576, 20.000, 1.657886, 1.603490, 1.603490, 1.496447, 2.930866, 0.926081, 1.000000, 
