size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
16, 4.000, 1035207.000000, 1890378.000000, 1890378.000000, 675135.000000, 900180.000000, 2160432.000000, 1755351.000000, 
32, 5.000, 450075.000000, 972162.000000, 1998333.000000, 378063.000000, 306051.000000, 1062177.000000, 918153.000000, 
64, 6.000, 255034.000000, 1080144.000000, 1125150.000000, 195026.000000, 150020.000000, 630084.000000, 517569.000000, 
128, 7.000, 122132.000000, 523882.000000, 443532.000000, 70708.000000, 64280.000000, 305330.000000, 237836.000000, 
256, 8.000, 49210.000000, 241832.000000, 285418.000000, 36556.000000, 35150.000000, 150442.000000, 126540.000000, 
512, 9.000, 24375.000000, 121875.000000, 137500.000000, 17500.000000, 14375.000000, 56250.000000, 51875.000000, 
1024, 10.000, 10397.000000, 54514.000000, 53952.000000, 6744.000000, 7587.000000, 31753.000000, 26976.000000, 
2048, 11.000, 4445.000000, 25146.000000, 25019.000000, 3429.000000, 3175.000000, 13335.000000, 10668.000000, 
4096, 12.000, 1972.000000, 8352.000000, 8352.000000, 1566.000000, 1624.000000, 5452.000000, 4756.000000, 
8192, 13.000, 945.000000, 2754.000000, 2754.000000, 675.000000, 621.000000, 2268.000000, 2052.000000, 
16384, 14.000, 372.000000, 1284.000000, 1284.000000, 276.000000, 324.000000, 1044.000000, 936.000000, 
32768, 15.000, 190.000000, 565.000000, 565.000000, 145.000000, 125.000000, 445.000000, 405.000000, 
65536, 16.000, 68.000000, 248.000000, 248.000000, 64.000000, 56.000000, 204.000000, 192.000000, 
131072, 17.000, 33.000000, 120.000000, 120.000000, 31.000000, 24.000000, 94.000000, 88.000000, 
262144, 18.000, 13.000000, 48.000000, 48.000000, 15.000000, 11.000000, 40.000000, 37.000000, 
524288, 19.000, 6.000000, 9.000000, 9.000000, 7.000000, 4.000000, 15.000000, 10.000000, 
1048576, 20.000, 3.000000, 3.000000, 3.000000, 3.000000, 2.000000, 5.000000, 5.000000, 
