size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
16, 4.000, 4280.921144, 7945.164112, 7934.586331, 2839.367316, 3690.514839, 9047.094372, 7272.109992, 
32, 5.000, 4641.623266, 10196.857280, 21261.689054, 4020.930882, 3158.237718, 11307.122992, 9704.736613, 
64, 6.000, 6354.997664, 27505.175499, 28594.528055, 4845.178370, 3820.619309, 16069.941685, 13212.594966, 
128, 7.000, 7175.379128, 31207.916495, 26310.523556, 4043.783980, 3735.657949, 18054.463861, 14166.127501, 
256, 8.000, 6648.069870, 32955.294306, 38871.115722, 4932.644257, 4762.412591, 20363.053415, 17138.562671, 
512, 9.000, 7464.759715, 37326.527357, 42086.244919, 5190.090942, 4249.095528, 17242.067452, 15848.306040, 
1024, 10.000, 7092.862187, 37031.215836, 36677.187811, 4479.813175, 5009.761476, 21596.089267, 18343.952293, 
2048, 11.000, 6646.773091, 37742.538826, 37479.504465, 5020.668785, 4749.208204, 19970.940807, 15903.696125, 
4096, 12.000, 6447.192981, 27205.327113, 0.000000, 4995.621207, 5225.307865, 17743.041475, 15452.087914, 
8192, 13.000, 6573.268976, 19542.373283, 0.000000, 4650.540521, 4324.378388, 15952.349464, 14480.226881, 
16384, 14.000, 5504.420289, 19515.411487, 0.000000, 4216.414423, 4806.233282, 15882.509965, 14268.544541, 
32768, 15.000, 6132.139152, 18387.779830, 0.000000, 4611.239793, 3985.185281, 14518.555887, 13200.549068, 
65536, 16.000, 4647.943262, 17310.836495, 0.000000, 4410.791143, 3914.135754, 14151.946650, 13330.238496, 
131072, 17.000, 4867.726650, 17759.843780, 0.000000, 4458.346393, 3516.235839, 13932.328650, 12901.687162, 
262144, 18.000, 3817.939963, 14980.152518, 0.000000, 4406.302644, 3346.087674, 12549.947471, 11636.400864, 
524288, 19.000, 3592.546208, 5638.569057, 0.000000, 4108.234934, 2109.475780, 9849.385987, 6166.032410, 
1048576, 20.000, 3411.945009, 3527.688469, 0.000000, 3780.014420, 1930.039528, 6108.091105, 5656.604018, 
