size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
16, 4.000, 0.154764, 0.152274, 0.152477, 0.152177, 0.156107, 0.152831, 0.154484, 
32, 5.000, 0.155144, 0.152543, 0.150380, 0.150438, 0.155049, 0.150302, 0.151374, 
64, 6.000, 0.154104, 0.150799, 0.151098, 0.154566, 0.150781, 0.150562, 0.150422, 
128, 7.000, 0.152508, 0.150410, 0.151044, 0.156671, 0.154176, 0.151528, 0.150430, 
256, 8.000, 0.151596, 0.150286, 0.150378, 0.151778, 0.151157, 0.151306, 0.151211, 
512, 9.000, 0.150467, 0.150456, 0.150548, 0.155373, 0.155892, 0.150330, 0.150830, 
1024, 10.000, 0.150102, 0.150744, 0.150630, 0.154155, 0.155079, 0.150560, 0.150586, 
2048, 11.000, 0.150655, 0.150093, 0.150383, 0.153861, 0.150607, 0.150424, 0.151115, 
4096, 12.000, 0.150341, 0.150896, 0.150896, 0.154079, 0.152762, 0.151032, 0.151285, 
8192, 13.000, 0.153103, 0.150079, 0.150079, 0.154573, 0.152933, 0.151409, 0.150916, 
16384, 14.000, 0.155017, 0.150916, 0.150916, 0.150146, 0.154628, 0.150775, 0.150468, 
32768, 15.000, 0.152294, 0.151029, 0.151029, 0.154558, 0.154171, 0.150653, 0.150801, 
65536, 16.000, 0.153408, 0.150222, 0.150222, 0.152147, 0.150021, 0.151152, 0.151030, 
131072, 17.000, 0.151059, 0.150557, 0.150557, 0.154934, 0.152087, 0.150336, 0.151983, 
262144, 18.000, 0.160667, 0.151195, 0.151195, 0.160631, 0.155120, 0.150394, 0.150036, 
524288, 19.000, 0.166369, 0.159000, 0.159000, 0.169733, 0.188890, 0.151707, 0.161554, 
1048576, 20.000, 0.184395, 0.178345, 0.178345, 0.166440, 0.217317, 0.171670, 0.185372, 
