size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
96, 6.585, 0.004000, 2.213000, 79.531000, 0.015000, 0.097000, 0.003000, 0.003000, 
160, 7.322, 0.006000, 2.598000, 140.676000, 0.003000, 0.034000, 0.003000, 0.013000, 
192, 7.585, 0.006000, 2.298000, 140.760000, 0.003000, 0.064000, 0.004000, 0.014000, 
384, 8.585, 0.007000, 2.601000, 222.853000, 0.004000, 0.062000, 0.015000, 0.005000, 
480, 8.907, 0.008000, 5.298000, 392.329000, 0.004000, 0.038000, 0.006000, 0.006000, 
640, 9.322, 0.010000, 4.138000, 312.336000, 0.006000, 0.079000, 0.019000, 0.017000, 
768, 9.585, 0.011000, 3.708000, 312.791000, 0.006000, 0.077000, 0.009000, 0.008000, 
800, 9.644, 0.012000, 5.444000, 310.486000, 0.006000, 0.061000, 0.009000, 0.009000, 
2400, 11.229, 0.040000, 8.478000, 8.478000, 0.019000, 0.176000, 0.035000, 0.035000, 
9216, 13.170, 0.126000, 6.825000, 6.825000, 0.059000, 0.719000, 0.051000, 0.063000, 
