size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
96, 6.585, 2.224007, 1.813343, 0.970482, 3.799376, 3.748107, 0.872235, 1.000000, 
160, 7.322, 2.400487, 0.955697, 0.986134, 5.665185, 6.333580, 0.891173, 1.000000, 
192, 7.585, 2.375123, 1.120768, 1.189719, 4.672277, 5.301806, 0.851685, 1.000000, 
384, 8.585, 2.875977, 1.374572, 1.040690, 5.116546, 5.185908, 0.894871, 1.000000, 
480, 8.907, 2.862497, 1.111802, 1.022393, 3.935008, 4.273667, 1.014961, 1.000000, 
640, 9.322, 2.956771, 1.203539, 1.159580, 7.040481, 8.235212, 0.923204, 1.000000, 
768, 9.585, 2.648393, 1.061002, 0.959170, 5.569408, 5.769836, 0.799837, 1.000000, 
800, 9.644, 3.109654, 1.072457, 1.044659, 5.089961, 5.712167, 0.902541, 1.000000, 
2400, 11.229, 3.143616, 1.393750, 1.393750, 7.217949, 7.515252, 0.967869, 1.000000, 
9216, 13.170, 2.691822, 1.111238, 1.111238, 6.779032, 6.901730, 0.919137, 1.000000, 
