size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
96, 6.585, 240460.000000, 295110.000000, 535570.000000, 142090.000000, 142090.000000, 601150.000000, 524640.000000, 
160, 7.322, 151767.000000, 370986.000000, 359744.000000, 67452.000000, 56210.000000, 393470.000000, 354123.000000, 
192, 7.585, 126468.000000, 262304.000000, 248252.000000, 65576.000000, 56208.000000, 346616.000000, 295092.000000, 
384, 8.585, 53274.000000, 110646.000000, 147528.000000, 30735.000000, 30735.000000, 170067.000000, 153675.000000, 
480, 8.907, 42614.000000, 106535.000000, 114730.000000, 31141.000000, 27863.000000, 116369.000000, 118008.000000, 
640, 9.322, 31697.000000, 78696.000000, 80882.000000, 14209.000000, 12023.000000, 101649.000000, 93998.000000, 
768, 9.585, 27300.000000, 66430.000000, 72800.000000, 12740.000000, 12740.000000, 87360.000000, 70980.000000, 
800, 9.644, 23598.000000, 67298.000000, 69046.000000, 14858.000000, 13110.000000, 79534.000000, 72542.000000, 
2400, 11.229, 6664.000000, 15232.000000, 15232.000000, 3094.000000, 2856.000000, 21658.000000, 20944.000000, 
9216, 13.170, 1456.000000, 3484.000000, 3484.000000, 572.000000, 572.000000, 4212.000000, 3900.000000, 
