size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
96, 6.585, 4890.495199, 5998.034750, 11207.314434, 2862.705258, 2901.862881, 12469.674753, 10876.486703, 
160, 7.322, 5691.850363, 14296.582563, 13855.331228, 2411.782026, 2157.264292, 15331.691832, 13663.187768, 
192, 7.585, 5992.885965, 12700.117451, 11964.066862, 3046.458682, 2684.715212, 16712.620930, 14233.873330, 
384, 8.585, 5810.260904, 12156.669472, 16056.911517, 3265.916317, 3222.231729, 18673.302224, 16710.171028, 
480, 8.907, 5830.238384, 15010.904900, 16323.539148, 4241.204611, 3905.105246, 16443.131642, 16689.066237, 
640, 9.322, 6293.526907, 15461.470399, 16047.594927, 2643.076009, 2259.627853, 20156.527760, 18608.568446, 
768, 9.585, 6469.169337, 16147.828408, 17862.112106, 3076.263057, 2969.374234, 21420.398007, 17132.997895, 
800, 9.644, 5935.454651, 17210.157086, 17668.184265, 3626.223672, 3231.214339, 20450.310500, 18457.357730, 
2400, 11.229, 5981.482758, 13491.411264, 0.000000, 2605.126352, 2502.058256, 19427.783445, 18803.580287, 
9216, 13.170, 5817.463722, 14092.094496, 0.000000, 2309.978588, 2268.940352, 17037.279026, 15659.507095, 
