size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
96, 6.585, 0.155412, 0.155514, 0.151046, 0.156885, 0.154768, 0.152378, 0.152464, 
160, 7.322, 0.156185, 0.151999, 0.152087, 0.163822, 0.152625, 0.150327, 0.151816, 
192, 7.585, 0.153663, 0.150391, 0.151091, 0.156738, 0.152449, 0.151018, 0.150959, 
384, 8.585, 0.151133, 0.150024, 0.151444, 0.155120, 0.157223, 0.150120, 0.151587, 
480, 8.907, 0.156244, 0.151713, 0.150245, 0.156957, 0.152522, 0.151283, 0.151153, 
640, 9.322, 0.150238, 0.151830, 0.150348, 0.160365, 0.158720, 0.150433, 0.150682, 
768, 9.585, 0.155323, 0.151416, 0.150010, 0.152429, 0.157916, 0.150109, 0.152484, 
800, 9.644, 0.153367, 0.150844, 0.150750, 0.158058, 0.156512, 0.150025, 0.151611, 
2400, 11.229, 0.150121, 0.152130, 0.152130, 0.160032, 0.153807, 0.150214, 0.150084, 
9216, 13.170, 0.151888, 0.150037, 0.150037, 0.150274, 0.152992, 0.150032, 0.151141, 
