size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
16, 4.000, 0.003000, 0.041000, 0.039000, 0.001000, 0.008000, 0.002000, 0.002000, 
32, 5.000, 0.003000, 0.282000, 4.517000, 0.002000, 0.021000, 0.004000, 0.002000, 
64, 6.000, 0.004000, 0.400000, 12.734000, 0.003000, 0.021000, 0.003000, 0.002000, 
128, 7.000, 0.005000, 0.507000, 33.030000, 0.002000, 0.036000, 0.004000, 0.003000, 
256, 8.000, 0.006000, 0.980000, 72.598000, 0.003000, 0.036000, 0.014000, 0.014000, 
512, 9.000, 0.009000, 1.311000, 110.621000, 0.004000, 0.070000, 0.029000, 0.015000, 
1024, 10.000, 0.029000, 1.943000, 168.594000, 0.008000, 0.095000, 0.019000, 0.018000, 
2048, 11.000, 0.031000, 2.559000, 227.671000, 0.011000, 0.091000, 0.026000, 0.030000, 
4096, 12.000, 0.100000, 2.702000, 2.702000, 0.017000, 0.176000, 0.029000, 0.042000, 
8192, 13.000, 0.101000, 3.099000, 3.099000, 0.031000, 0.341000, 0.067000, 0.054000, 
16384, 14.000, 0.211000, 4.389000, 4.389000, 0.058000, 0.706000, 0.177000, 0.077000, 
32768, 15.000, 0.612000, 4.163000, 4.163000, 0.120000, 1.416000, 0.206000, 0.150000, 
65536, 16.000, 0.836000, 4.752000, 4.752000, 0.218000, 2.937000, 0.648000, 0.284000, 
131072, 17.000, 1.601000, 6.492000, 6.492000, 0.428000, 5.849000, 0.715000, 0.532000, 
262144, 18.000, 3.371000, 7.798000, 7.798000, 0.871000, 11.716000, 1.460000, 1.045000, 
524288, 19.000, 6.958000, 10.213000, 10.213000, 1.729000, 26.234000, 2.761000, 2.103000, 
1048576, 20.000, 24.972000, 22.967000, 22.967000, 3.071000, 46.933000, 5.565000, 5.065000, 
