size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
16, 4.000, 0.950994, 0.404566, 0.364944, 0.475071, 1.021840, 0.886959, 1.000000, 
32, 5.000, 1.838718, 1.134116, 0.730880, 1.981404, 1.782384, 1.079043, 1.000000, 
64, 6.000, 2.021830, 1.504015, 1.116033, 2.718213, 3.532558, 0.852530, 1.000000, 
128, 7.000, 2.300789, 1.196241, 1.018803, 2.913187, 3.135827, 0.873218, 1.000000, 
256, 8.000, 2.555920, 1.270763, 1.067918, 4.076157, 4.689278, 0.889491, 1.000000, 
512, 9.000, 2.947896, 1.214411, 0.995370, 4.127451, 4.214637, 0.907444, 1.000000, 
1024, 10.000, 3.103948, 1.409661, 1.081048, 4.459743, 5.598756, 0.907357, 1.000000, 
2048, 11.000, 3.049366, 1.303090, 1.085168, 4.700487, 4.625016, 0.921523, 1.000000, 
4096, 12.000, 2.938544, 1.117855, 1.117855, 3.919801, 4.047205, 0.829599, 1.000000, 
8192, 13.000, 2.375493, 0.933288, 0.933288, 2.827307, 2.674551, 0.908567, 1.000000, 
16384, 14.000, 2.406890, 0.968564, 0.968564, 3.109513, 3.291240, 0.911711, 1.000000, 
32768, 15.000, 2.020901, 0.888792, 0.888792, 2.581869, 2.635792, 0.924451, 1.000000, 
65536, 16.000, 2.065061, 0.879963, 0.879963, 2.365908, 3.010151, 0.932238, 1.000000, 
131072, 17.000, 1.897265, 0.801272, 0.801272, 2.263256, 2.413045, 0.931907, 1.000000, 
262144, 18.000, 2.033907, 0.813864, 0.813864, 2.315998, 2.869879, 0.867844, 1.000000, 
524288, 19.000, 1.856172, 0.800159, 0.800159, 2.178815, 3.064055, 0.905473, 1.000000, 
1048576, 20.000, 1.966434, 0.702517, 0.702517, 1.856863, 3.400708, 0.938660, 1.000000, 
