size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
16, 4.000, 1267201.000000, 2924310.000000, 3314218.000000, 2534402.000000, 1169724.000000, 1364678.000000, 1267201.000000, 
32, 5.000, 623856.000000, 1013766.000000, 1520649.000000, 584865.000000, 662847.000000, 1052757.000000, 1130739.000000, 
64, 6.000, 406150.000000, 536118.000000, 731070.000000, 308674.000000, 227444.000000, 942268.000000, 812300.000000, 
128, 7.000, 187974.000000, 362024.000000, 424682.000000, 146202.000000, 139240.000000, 494302.000000, 431644.000000, 
256, 8.000, 100518.000000, 201036.000000, 240634.000000, 63966.000000, 54828.000000, 286324.000000, 255864.000000, 
512, 9.000, 41943.000000, 100122.000000, 121770.000000, 29766.000000, 29766.000000, 133947.000000, 121770.000000, 
1024, 10.000, 20706.000000, 45066.000000, 58464.000000, 14616.000000, 11571.000000, 69426.000000, 62727.000000, 
2048, 11.000, 9384.000000, 21804.000000, 26220.000000, 6072.000000, 6348.000000, 30636.000000, 28428.000000, 
4096, 12.000, 3906.000000, 10206.000000, 10206.000000, 2898.000000, 2898.000000, 13734.000000, 11340.000000, 
8192, 13.000, 1624.000000, 4060.000000, 4060.000000, 1334.000000, 1450.000000, 4176.000000, 3770.000000, 
16384, 14.000, 756.000000, 1863.000000, 1863.000000, 594.000000, 567.000000, 1971.000000, 1809.000000, 
32768, 15.000, 360.000000, 816.000000, 816.000000, 288.000000, 276.000000, 780.000000, 732.000000, 
65536, 16.000, 155.000000, 355.000000, 355.000000, 135.000000, 105.000000, 335.000000, 315.000000, 
131072, 17.000, 70.000000, 164.000000, 164.000000, 60.000000, 56.000000, 142.000000, 132.000000, 
262144, 18.000, 32.000000, 79.000000, 79.000000, 28.000000, 23.000000, 75.000000, 65.000000, 
524288, 19.000, 15.000000, 35.000000, 35.000000, 13.000000, 9.000000, 31.000000, 28.000000, 
1048576, 20.000, 6.000000, 15.000000, 15.000000, 6.000000, 4.000000, 12.000000, 11.000000, 
