size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
16, 4.000, 2647.551743, 6223.467209, 6899.185928, 5299.844078, 2463.987151, 2838.699143, 2517.815888, 
32, 5.000, 3212.254697, 5207.947292, 8081.197314, 2980.925320, 3313.758647, 5473.737026, 5906.415765, 
64, 6.000, 5068.229972, 6813.164771, 9181.713164, 3769.776353, 2900.763099, 12019.602836, 10247.081162, 
128, 7.000, 5526.578946, 10629.550993, 12480.814484, 4364.791385, 4054.910067, 14561.620243, 12715.446607, 
256, 8.000, 6799.024506, 13675.009898, 16272.475582, 4263.262020, 3705.866139, 19536.616758, 17377.661221, 
512, 9.000, 6277.635931, 15238.443926, 18591.948470, 4483.640215, 4390.833275, 20393.167869, 18505.859305, 
1024, 10.000, 6897.823583, 15188.320015, 19805.061499, 4800.800626, 3824.111644, 23596.258704, 21410.102330, 
2048, 11.000, 6947.182123, 16257.273467, 19521.973468, 4506.876651, 4580.469168, 22988.735194, 21184.693126, 
4096, 12.000, 6314.097520, 16597.911287, 0.000000, 4733.472548, 4584.419426, 22365.356923, 18554.469315, 
8192, 13.000, 5626.240379, 14320.426062, 0.000000, 4727.139340, 4997.158705, 14709.995568, 13364.999134, 
16384, 14.000, 5675.245326, 14102.938160, 0.000000, 4392.844514, 4150.296841, 14982.406066, 13659.625772, 
32768, 15.000, 5835.604512, 13268.854542, 0.000000, 4567.675985, 4474.347118, 12757.067561, 11793.154717, 
65536, 16.000, 5254.609645, 12331.284328, 0.000000, 4586.381898, 3604.816879, 11639.725900, 10850.830152, 
131072, 17.000, 5142.959641, 12177.791641, 0.000000, 4311.384290, 4043.675393, 10470.700236, 9757.738763, 
262144, 18.000, 4972.041832, 12425.542763, 0.000000, 4366.496441, 3523.738303, 11652.532383, 10112.713245, 
524288, 19.000, 4899.791445, 11366.205044, 0.000000, 4174.106058, 2968.139526, 10044.288781, 9094.624374, 
1048576, 20.000, 3681.776207, 10305.887903, 0.000000, 3899.066672, 2128.980255, 7713.095129, 7240.001506, 
