size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
16, 4.000, 0.153162, 0.150363, 0.153721, 0.153025, 0.151913, 0.153837, 0.161054, 
32, 5.000, 0.155369, 0.155726, 0.150537, 0.156962, 0.160023, 0.153863, 0.153154, 
64, 6.000, 0.153862, 0.151082, 0.152875, 0.157212, 0.150544, 0.150517, 0.152201, 
128, 7.000, 0.152377, 0.152581, 0.152440, 0.150061, 0.153837, 0.152076, 0.152080, 
256, 8.000, 0.151390, 0.150538, 0.151427, 0.153641, 0.151500, 0.150075, 0.150771, 
512, 9.000, 0.153938, 0.151381, 0.150903, 0.152958, 0.156191, 0.151332, 0.151605, 
1024, 10.000, 0.153693, 0.151918, 0.151141, 0.155878, 0.154921, 0.150643, 0.150005, 
2048, 11.000, 0.152150, 0.151071, 0.151287, 0.151757, 0.156106, 0.150110, 0.151153, 
4096, 12.000, 0.152031, 0.151117, 0.151117, 0.150463, 0.155355, 0.150915, 0.150202, 
8192, 13.000, 0.153699, 0.150964, 0.150964, 0.150266, 0.154507, 0.151165, 0.150202, 
16384, 14.000, 0.152776, 0.151503, 0.151503, 0.155081, 0.156683, 0.150877, 0.151886, 
32768, 15.000, 0.151610, 0.151136, 0.151136, 0.154956, 0.151597, 0.150264, 0.152543, 
65536, 16.000, 0.154654, 0.150935, 0.150935, 0.154324, 0.152713, 0.150894, 0.152201, 
131072, 17.000, 0.151640, 0.150039, 0.150039, 0.155047, 0.154291, 0.151092, 0.150714, 
262144, 18.000, 0.151844, 0.150001, 0.150001, 0.151289, 0.153995, 0.151853, 0.151645, 
524288, 19.000, 0.152478, 0.153372, 0.153372, 0.155122, 0.151026, 0.153722, 0.153344, 
1048576, 20.000, 0.170881, 0.152618, 0.152618, 0.161358, 0.197010, 0.163137, 0.159314, 
