| input len | real FFTPack |real FFTWestim|real FFTWauto |  real  Green |  real   Kiss |  real Pocket | real PFFFT-U |  real  PFFFT | cplx FFTPack |cplx FFTWestim|cplx FFTWauto |  cplx  Green |  cplx   Kiss |  cplx Pocket | cplx PFFFT-U |  cplx  PFFFT |
|----------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|
|       96  |       5139   |       6133   |      11310   |       3208   |       3027   |       3507   |      10527   |       9516   |       6278   |      29802   |      31381   |       3296   |       2798   |       4880   |      12822   |      10831   |
|      160  |       5929   |      13895   |      14718   |       2536   |       2133   |       3455   |      11869   |      10281   |       6558   |      33238   |      36740   |       2340   |       2792   |       4622   |      12213   |      10133   |
|      192  |       6253   |      12860   |      13841   |       3112   |       2642   |       4359   |      14511   |      10900   |       6584   |      34142   |      36963   |       3673   |       3475   |       5652   |      14892   |      12336   |
|      384  |       6206   |      12251   |      16082   |       3435   |       3320   |       4451   |      16156   |      14151   |       6738   |      28623   |      41324   |       3850   |       3290   |       6280   |      13254   |      11689   |
|      480  |       6048   |      15268   |      16435   |       3863   |       4368   |       5802   |      21043   |      18342   |       6167   |      15170   |      25890   |       5028   |       4273   |       8214   |      17779   |      16230   |
|      640  |       6550   |      15852   |      17023   |       2524   |       2370   |       4060   |      14902   |      13104   |       6882   |      36587   |      41946   |       2855   |       2970   |       5530   |      13189   |      10692   |
|      768  |       6110   |      16554   |      18345   |       3557   |       3164   |       4842   |      18332   |      16066   |       6959   |      22729   |      41900   |       3519   |       3828   |       6913   |      16747   |      13373   |
|      800  |       5110   |      17404   |      17897   |       3703   |       3136   |       5086   |      19087   |      16563   |       5849   |      21896   |      27408   |       3703   |       4048   |       7319   |      17638   |      15127   |
|     2400  |       6119   |      13528   |        n/a   |       2659   |       2616   |       3847   |      12600   |      11031   |       5918   |      20932   |        n/a   |       2852   |       3020   |       4750   |       9786   |       7591   |
|     9216  |       5661   |      15331   |        n/a   |       2442   |       2315   |       3346   |       7956   |       7234   |       6036   |      15746   |        n/a   |       2489   |       2398   |       4188   |       8887   |       8066   |
