| input len | real FFTPack |real FFTWestim|real FFTWauto |  real  Green |  real   Kiss |  real Pocket | real PFFFT-U |  real  PFFFT | cplx FFTPack |cplx FFTWestim|cplx FFTWauto |  cplx  Green |  cplx   Kiss |  cplx Pocket | cplx PFFFT-U |  cplx  PFFFT |
|----------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|
|        2  |        268   |        789   |        679   |       1039   |        264   |        170   |        n/a   |        n/a   |        498   |        694   |       1716   |       2170   |       1139   |        363   |        n/a   |        n/a   |
|        4  |        898   |       2686   |       2659   |       3528   |       1219   |        626   |        n/a   |        n/a   |       1238   |       2700   |       4904   |       4643   |       2869   |       1180   |        n/a   |        n/a   |
|        8  |       1212   |       5032   |       4007   |       5536   |       2774   |       1067   |        n/a   |        n/a   |       1579   |       5436   |       6999   |       5813   |       2393   |       1923   |        n/a   |        n/a   |
|       16  |       2572   |       7445   |       7298   |       4816   |       2525   |       2122   |        n/a   |        n/a   |       3861   |       8333   |       8494   |       2946   |       3737   |       3526   |       9835   |       7936   |
|       32  |       2889   |       4934   |       8473   |       3045   |       3505   |       2825   |       7401   |       6058   |       4146   |      10684   |      20224   |       4061   |       3238   |       4577   |      11452   |       9711   |
|       64  |       5271   |       6894   |       9630   |       3995   |       3252   |       3890   |      11823   |      10207   |       6590   |      27360   |      29484   |       5012   |       4363   |       6072   |      16470   |      13762   |
|      128  |       6005   |      11162   |      13014   |       4590   |       4311   |       4568   |      15239   |      12961   |       7072   |      30806   |      36097   |       4502   |       3753   |       6784   |      17133   |      12291   |
|      256  |       6676   |      13766   |      15794   |       4220   |       3484   |       5216   |      20396   |      17831   |       7599   |      34105   |      39358   |       5142   |       4914   |       8058   |      21441   |      16390   |
|      512  |       6689   |      15702   |      19059   |       4812   |       4743   |       6154   |      19569   |      16095   |       7377   |      36024   |      37167   |       4667   |       4094   |       8104   |      18010   |      17700   |
|     1024  |       6916   |      14958   |      19574   |       4294   |       4339   |       6857   |      24740   |      21158   |       7166   |      39185   |      42815   |       4914   |       5013   |       9111   |      22486   |      15314   |
|     2048  |       7058   |      16497   |      19755   |       4636   |       4059   |       6266   |      23352   |      21777   |       7560   |      37140   |      35757   |       4947   |       4913   |       8677   |      19639   |      17574   |
|     4096  |       6650   |      15897   |        n/a   |       4811   |       4719   |       7077   |      23073   |      21165   |       6337   |      27371   |        n/a   |       5072   |       5312   |       8585   |      17514   |      14872   |
|     8192  |       5745   |      14380   |        n/a   |       4567   |       5044   |       5832   |      14116   |      12038   |       6216   |      19391   |        n/a   |       4626   |       4542   |       7431   |      14439   |      12115   |
|    16384  |       5487   |      15149   |        n/a   |       4080   |       3488   |       6400   |      14886   |      13272   |       6313   |      20013   |        n/a   |       4885   |       4912   |       8437   |      16091   |      14600   |
|    32768  |       5879   |      13367   |        n/a   |       4394   |       4586   |       5849   |      12385   |      11203   |       5831   |      17001   |        n/a   |       4603   |       2422   |       5874   |      11197   |       9896   |
|    65536  |       4643   |      12325   |        n/a   |       4458   |       3689   |       5582   |      11559   |      10586   |       4958   |      17344   |        n/a   |       4433   |       4117   |       8772   |      14806   |      13326   |
|   131072  |       5406   |      12358   |        n/a   |       4295   |       4072   |       5648   |      11399   |      10555   |       5338   |      17813   |        n/a   |       4547   |       3742   |       8361   |      13981   |      12660   |
|   262144  |       5090   |      11114   |        n/a   |       3706   |       3634   |       6037   |      11775   |      10715   |       4533   |      13601   |        n/a   |       4144   |       3445   |       7085   |      12357   |      13209   |
|   524288  |       5080   |       9092   |        n/a   |       4033   |       3278   |       5644   |      10720   |       9769   |       4609   |       6004   |        n/a   |       4268   |       2277   |       6632   |       9054   |       9402   |
|  1048576  |       4551   |       8789   |        n/a   |       3785   |       2008   |       4105   |       7805   |       8177   |       4079   |       4536   |        n/a   |       3859   |       1895   |       5938   |       6642   |       6139   |
|  2097152  |       3689   |       6422   |        n/a   |       3822   |       2105   |       3968   |       5723   |       4940   |       4016   |       3381   |        n/a   |       3582   |       1411   |       5066   |       6396   |       5861   |
