size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
96, 6.585, 0.006000, 0.053000, 54.173000, 0.002000, 0.062000, 0.003000, 0.005000, 0.005000, 
160, 7.322, 0.008000, 0.122000, 62.014000, 0.004000, 0.027000, 0.005000, 0.007000, 0.007000, 
192, 7.585, 0.016000, 0.392000, 81.252000, 0.002000, 0.024000, 0.005000, 0.008000, 0.021000, 
384, 8.585, 0.013000, 0.359000, 117.096000, 0.004000, 0.041000, 0.017000, 0.026000, 0.022000, 
480, 8.907, 0.016000, 0.352000, 185.065000, 0.004000, 0.039000, 0.008000, 0.021000, 0.021000, 
640, 9.322, 0.021000, 0.054000, 139.580000, 0.006000, 0.068000, 0.015000, 0.031000, 0.031000, 
768, 9.585, 0.024000, 0.471000, 162.054000, 0.005000, 0.068000, 0.006000, 0.030000, 0.031000, 
800, 9.644, 0.043000, 0.077000, 141.985000, 0.005000, 0.072000, 0.005000, 0.030000, 0.031000, 
2400, 11.229, 0.076000, 0.131000, 0.131000, 0.017000, 0.226000, 0.034000, 0.060000, 0.059000, 
9216, 13.170, 0.252000, 0.528000, 0.528000, 0.059000, 0.981000, 0.116000, 0.332000, 0.177000, 
