size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
96, 6.585, 1.725306, 0.363424, 0.345139, 3.285607, 3.871637, 2.219579, 0.844738, 1.000000, 
160, 7.322, 1.545035, 0.304859, 0.275797, 4.330124, 3.629051, 2.192400, 0.829656, 1.000000, 
192, 7.585, 1.873704, 0.361308, 0.333730, 3.358610, 3.549683, 2.182469, 0.828355, 1.000000, 
384, 8.585, 1.734755, 0.408398, 0.282875, 3.036250, 3.552995, 1.861301, 0.881951, 1.000000, 
480, 8.907, 2.631614, 1.069846, 0.626890, 3.228171, 3.798676, 1.975986, 0.912884, 1.000000, 
640, 9.322, 1.553675, 0.292243, 0.254902, 3.745543, 3.600067, 1.933589, 0.810669, 1.000000, 
768, 9.585, 1.921817, 0.588384, 0.319173, 3.800359, 3.493096, 1.934605, 0.798547, 1.000000, 
800, 9.644, 2.586518, 0.690861, 0.551931, 4.085340, 3.737360, 2.066879, 0.857643, 1.000000, 
2400, 11.229, 1.282602, 0.362657, 0.362657, 2.661628, 2.513983, 1.598273, 0.775738, 1.000000, 
9216, 13.170, 1.336321, 0.512252, 0.512252, 3.240900, 3.363670, 1.925868, 0.907566, 1.000000, 
