size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
96, 6.585, 153972.000000, 714870.000000, 747864.000000, 82485.000000, 71487.000000, 120978.000000, 307944.000000, 258453.000000, 
160, 7.322, 84840.000000, 427028.000000, 475104.000000, 31108.000000, 36764.000000, 59388.000000, 158368.000000, 130088.000000, 
192, 7.585, 68353.000000, 353550.000000, 381834.000000, 40069.000000, 37712.000000, 58925.000000, 155562.000000, 127278.000000, 
384, 8.585, 30930.000000, 130937.000000, 188673.000000, 18558.000000, 15465.000000, 28868.000000, 60829.000000, 53612.000000, 
480, 8.907, 22248.000000, 53560.000000, 91464.000000, 18128.000000, 15656.000000, 28840.000000, 62624.000000, 57680.000000, 
640, 9.322, 17568.000000, 92232.000000, 105957.000000, 7686.000000, 7686.000000, 14274.000000, 33489.000000, 26901.000000, 
768, 9.585, 14198.000000, 46716.000000, 85646.000000, 7328.000000, 8244.000000, 14198.000000, 34350.000000, 27480.000000, 
800, 9.644, 11414.000000, 42583.000000, 53558.000000, 7463.000000, 7902.000000, 14487.000000, 34681.000000, 29852.000000, 
2400, 11.229, 3332.000000, 11662.000000, 11662.000000, 1666.000000, 1785.000000, 2737.000000, 5474.000000, 4284.000000, 
9216, 13.170, 754.000000, 1950.000000, 1950.000000, 312.000000, 312.000000, 520.000000, 1118.000000, 1014.000000, 
