size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
96, 6.585, 6277.693697, 29802.462869, 31381.396462, 3296.481876, 2797.509259, 4879.725949, 12821.664677, 10830.950232, 
160, 7.322, 6558.326398, 33237.898205, 36740.203976, 2340.083236, 2792.141322, 4621.813590, 12213.358000, 10132.857968, 
192, 7.585, 6583.554817, 34141.610833, 36962.891633, 3672.841103, 3475.143214, 5652.151949, 14891.765003, 12335.641356, 
384, 8.585, 6738.389086, 28622.694319, 41324.012509, 3849.973751, 3290.030647, 6280.281380, 13254.092192, 11689.530780, 
480, 8.907, 6167.300422, 15170.327140, 25889.613605, 5027.587435, 4272.523905, 8213.584597, 17778.838060, 16229.966618, 
640, 9.322, 6881.851398, 36586.629307, 41946.282589, 2854.639904, 2969.975529, 5529.672544, 13189.368575, 10692.143403, 
768, 9.585, 6958.716088, 22729.047190, 41899.774726, 3518.963605, 3828.489635, 6912.644982, 16747.180450, 13373.386596, 
800, 9.644, 5848.557761, 21896.112563, 27408.100282, 3702.816067, 4047.576769, 7318.855349, 17638.359694, 15127.140623, 
2400, 11.229, 5918.403998, 20931.703846, 0.000000, 2852.035208, 3019.519008, 4749.508320, 9785.460315, 7590.964649, 
9216, 13.170, 6035.840532, 15745.767577, 0.000000, 2488.741916, 2397.906397, 4188.199752, 8887.269574, 8065.829448, 
