size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
96, 6.585, 0.155048, 0.151635, 0.150652, 0.158179, 0.161540, 0.156724, 0.151828, 0.150848, 
160, 7.322, 0.151549, 0.150511, 0.151493, 0.155735, 0.154252, 0.150533, 0.151907, 0.150401, 
192, 7.585, 0.151200, 0.150807, 0.150440, 0.158877, 0.158038, 0.151824, 0.152129, 0.150261, 
384, 8.585, 0.151319, 0.150807, 0.150514, 0.158907, 0.154960, 0.151533, 0.151297, 0.151194, 
480, 8.907, 0.154228, 0.150943, 0.151040, 0.154155, 0.156662, 0.150117, 0.150593, 0.151941, 
640, 9.322, 0.152301, 0.150399, 0.150703, 0.160633, 0.154395, 0.154004, 0.151483, 0.150103, 
768, 9.585, 0.150193, 0.151299, 0.150469, 0.153293, 0.158512, 0.151194, 0.150986, 0.151261, 
800, 9.644, 0.150567, 0.150041, 0.150760, 0.155497, 0.150620, 0.152713, 0.151696, 0.152250, 
2400, 11.229, 0.151721, 0.150146, 0.150146, 0.157422, 0.159311, 0.155300, 0.150754, 0.152089, 
9216, 13.170, 0.151621, 0.150313, 0.150313, 0.152160, 0.157924, 0.150696, 0.152686, 0.152586, 
