size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, 0.013000, 0.051000, 0.322000, 0.002000, 0.005000, 0.004000, 0.000000, 0.000000, 
4, 2.000, 0.004000, 0.103000, 0.230000, 0.001000, 0.005000, 0.002000, 0.000000, 0.000000, 
8, 3.000, 0.003000, 0.061000, 0.234000, 0.002000, 0.007000, 0.003000, 0.000000, 0.000000, 
16, 4.000, 0.004000, 0.084000, 0.256000, 0.002000, 0.008000, 0.002000, 0.003000, 0.001000, 
32, 5.000, 0.015000, 0.184000, 4.908000, 0.002000, 0.010000, 0.002000, 0.003000, 0.003000, 
64, 6.000, 0.007000, 0.052000, 15.116000, 0.003000, 0.011000, 0.003000, 0.005000, 0.004000, 
128, 7.000, 0.008000, 0.095000, 28.821000, 0.003000, 0.026000, 0.003000, 0.015000, 0.016000, 
256, 8.000, 0.010000, 0.066000, 45.446000, 0.003000, 0.027000, 0.004000, 0.007000, 0.007000, 
512, 9.000, 0.028000, 0.067000, 65.373000, 0.006000, 0.069000, 0.005000, 0.017000, 0.026000, 
1024, 10.000, 0.030000, 0.077000, 85.654000, 0.005000, 0.065000, 0.006000, 0.031000, 0.022000, 
2048, 11.000, 0.055000, 0.102000, 128.685000, 0.012000, 0.119000, 0.007000, 0.036000, 0.022000, 
4096, 12.000, 0.214000, 0.078000, 0.078000, 0.017000, 0.226000, 0.042000, 0.059000, 0.065000, 
8192, 13.000, 0.244000, 0.160000, 0.160000, 0.031000, 0.446000, 0.054000, 0.107000, 0.132000, 
16384, 14.000, 0.442000, 0.197000, 0.197000, 0.058000, 0.906000, 0.122000, 0.172000, 0.164000, 
32768, 15.000, 0.987000, 0.401000, 0.401000, 0.111000, 1.811000, 0.299000, 0.621000, 0.610000, 
65536, 16.000, 1.716000, 0.361000, 0.361000, 0.216000, 3.478000, 0.406000, 0.626000, 0.631000, 
131072, 17.000, 3.533000, 0.566000, 0.566000, 0.428000, 6.940000, 0.798000, 1.234000, 1.244000, 
262144, 18.000, 7.123000, 1.064000, 1.064000, 0.849000, 14.653000, 1.581000, 2.490000, 2.496000, 
524288, 19.000, 14.382000, 3.808000, 3.808000, 1.626000, 28.230000, 3.113000, 4.965000, 5.023000, 
1048576, 20.000, 28.547000, 5.820000, 5.820000, 3.155000, 59.015000, 7.139000, 10.133000, 9.963000, 
2097152, 21.000, 56.664000, 8.279000, 8.279000, 6.301000, 129.039000, 13.879000, 24.440000, 19.547000, 
