size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, inf, inf, inf, inf, inf, inf, 0.000000, 0.000000, 
4, 2.000, inf, inf, inf, inf, inf, inf, 0.000000, 0.000000, 
8, 3.000, inf, inf, inf, inf, inf, inf, 0.000000, 0.000000, 
16, 4.000, 2.055296, 0.952290, 0.934216, 2.693426, 2.123639, 2.250502, 0.806847, 1.000000, 
32, 5.000, 2.342482, 0.908928, 0.480160, 2.391304, 2.999289, 2.121784, 0.847964, 1.000000, 
64, 6.000, 2.088413, 0.502998, 0.466757, 2.745575, 3.153891, 2.266616, 0.835552, 1.000000, 
128, 7.000, 1.738016, 0.398995, 0.340507, 2.730382, 3.274821, 1.811710, 0.717431, 1.000000, 
256, 8.000, 2.156932, 0.480582, 0.416436, 3.187340, 3.335362, 2.034032, 0.764434, 1.000000, 
512, 9.000, 2.399485, 0.491348, 0.476243, 3.792362, 4.323629, 2.184023, 0.982797, 1.000000, 
1024, 10.000, 2.137024, 0.390807, 0.357677, 3.116531, 3.054775, 1.680717, 0.681026, 1.000000, 
2048, 11.000, 2.324492, 0.473192, 0.491486, 3.552164, 3.576787, 2.025361, 0.894845, 1.000000, 
4096, 12.000, 2.346753, 0.543341, 0.543341, 2.932048, 2.799612, 1.732301, 0.849146, 1.000000, 
8192, 13.000, 1.949157, 0.624786, 0.624786, 2.619187, 2.667594, 1.630307, 0.839069, 1.000000, 
16384, 14.000, 2.312675, 0.729529, 0.729529, 2.988540, 2.972103, 1.730443, 0.907354, 1.000000, 
32768, 15.000, 1.697141, 0.582087, 0.582087, 2.149748, 4.086333, 1.684725, 0.883800, 1.000000, 
65536, 16.000, 2.687607, 0.768320, 0.768320, 3.006418, 3.236926, 1.519192, 0.900043, 1.000000, 
131072, 17.000, 2.371670, 0.710706, 0.710706, 2.784122, 3.383301, 1.514247, 0.905514, 1.000000, 
262144, 18.000, 2.914366, 0.971229, 0.971229, 3.187296, 3.834726, 1.864411, 1.068940, 1.000000, 
524288, 19.000, 2.039631, 1.565886, 1.565886, 2.202622, 4.128663, 1.417697, 1.038357, 1.000000, 
1048576, 20.000, 1.505047, 1.353348, 1.353348, 1.590770, 3.240184, 1.033857, 0.924223, 1.000000, 
2097152, 21.000, 1.459562, 1.733538, 1.733538, 1.636239, 4.154643, 1.157029, 0.916332, 1.000000, 
