size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, 4777476.000000, 6369968.000000, 14332428.000000, 17517412.000000, 9554952.000000, 3184984.000000, 0.000000, 0.000000, 
4, 2.000, 2388738.000000, 5175599.000000, 9554952.000000, 8758706.000000, 5573722.000000, 2388738.000000, 0.000000, 0.000000, 
8, 3.000, 1061656.000000, 3450382.000000, 4379331.000000, 3715796.000000, 1592484.000000, 1327070.000000, 0.000000, 0.000000, 
16, 4.000, 945535.000000, 1990600.000000, 2040365.000000, 696710.000000, 895770.000000, 846005.000000, 2338955.000000, 1891070.000000, 
32, 5.000, 398120.000000, 1015206.000000, 1910976.000000, 398120.000000, 318496.000000, 437932.000000, 1074924.000000, 915676.000000, 
64, 6.000, 265408.000000, 1069926.000000, 1152866.000000, 199056.000000, 174174.000000, 240526.000000, 646932.000000, 539110.000000, 
128, 7.000, 120836.000000, 518884.000000, 607734.000000, 78188.000000, 63972.000000, 117282.000000, 287874.000000, 206132.000000, 
256, 8.000, 55980.000000, 250355.000000, 289230.000000, 38875.000000, 37320.000000, 59090.000000, 157055.000000, 121290.000000, 
512, 9.000, 24185.000000, 117470.000000, 121616.000000, 15893.000000, 13820.000000, 26949.000000, 58735.000000, 58044.000000, 
1024, 10.000, 10885.000000, 57535.000000, 62822.000000, 7464.000000, 7464.000000, 13373.000000, 33277.000000, 22703.000000, 
2048, 11.000, 5076.000000, 24816.000000, 23829.000000, 3384.000000, 3384.000000, 5922.000000, 13113.000000, 11703.000000, 
4096, 12.000, 1984.000000, 8384.000000, 8384.000000, 1600.000000, 1664.000000, 2624.000000, 5376.000000, 4544.000000, 
8192, 13.000, 899.000000, 2755.000000, 2755.000000, 667.000000, 667.000000, 1073.000000, 2059.000000, 1711.000000, 
16384, 14.000, 416.000000, 1313.000000, 1313.000000, 325.000000, 325.000000, 559.000000, 1053.000000, 962.000000, 
32768, 15.000, 180.000000, 522.000000, 522.000000, 144.000000, 78.000000, 180.000000, 342.000000, 306.000000, 
65536, 16.000, 72.000000, 249.000000, 249.000000, 66.000000, 60.000000, 126.000000, 213.000000, 192.000000, 
131072, 17.000, 36.000000, 120.000000, 120.000000, 31.000000, 26.000000, 57.000000, 95.000000, 86.000000, 
262144, 18.000, 15.000000, 44.000000, 44.000000, 14.000000, 11.000000, 23.000000, 40.000000, 43.000000, 
524288, 19.000, 7.000000, 10.000000, 10.000000, 7.000000, 4.000000, 10.000000, 14.000000, 15.000000, 
1048576, 20.000, 3.000000, 4.000000, 4.000000, 3.000000, 2.000000, 5.000000, 5.000000, 5.000000, 
2097152, 21.000, 2.000000, 2.000000, 2.000000, 2.000000, 1.000000, 2.000000, 3.000000, 2.000000, 
