size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, 497.726335, 694.085317, 1716.026867, 2169.634501, 1138.605782, 363.445734, 0.000000, 0.000000, 
4, 2.000, 1237.912575, 2699.878194, 4903.653124, 4643.110708, 2868.671938, 1179.849477, 0.000000, 0.000000, 
8, 3.000, 1578.885846, 5435.669800, 6998.950796, 5813.349326, 2393.303192, 1923.487315, 0.000000, 0.000000, 
16, 4.000, 3861.050214, 8333.174168, 8494.386876, 2946.289505, 3736.802722, 3526.145711, 9835.290407, 7935.565260, 
32, 5.000, 4145.598907, 10683.989108, 20224.509694, 4060.972733, 3237.755653, 4576.809322, 11452.113464, 9710.951885, 
64, 6.000, 6589.638825, 27359.827391, 29484.082078, 5012.393949, 4363.468968, 6071.533167, 16470.323410, 13761.857089, 
128, 7.000, 7072.063961, 30805.933249, 36097.425522, 4501.734856, 3753.301029, 6784.427242, 17132.511740, 12291.400544, 
256, 8.000, 7598.759246, 34104.952840, 39358.341528, 5142.255550, 4913.999151, 8057.870346, 21440.669786, 16389.999802, 
512, 9.000, 7376.765183, 36024.341808, 37166.919439, 4667.381141, 4093.867160, 8104.486344, 18010.253134, 17700.370066, 
1024, 10.000, 7165.926259, 39185.271895, 42814.556878, 4913.778006, 5013.075874, 9111.503530, 22486.239937, 15313.794875, 
2048, 11.000, 7560.471273, 37139.838567, 35756.991407, 4947.449331, 4913.394304, 8677.126244, 19639.249558, 17574.119545, 
4096, 12.000, 6337.206543, 27371.235155, 0.000000, 5072.184098, 5312.107659, 8585.102143, 17513.912312, 14871.932881, 
8192, 13.000, 6215.666039, 19391.191244, 0.000000, 4625.617462, 4541.654060, 7431.338640, 14439.113406, 12115.336170, 
16384, 14.000, 6313.045227, 20013.469073, 0.000000, 4885.297683, 4912.403709, 8437.436022, 16090.931548, 14600.172826, 
32768, 15.000, 5830.950827, 17000.963443, 0.000000, 4603.324748, 2421.754922, 5873.882965, 11197.324896, 9896.050268, 
65536, 16.000, 4958.392245, 17344.499552, 0.000000, 4432.532473, 4116.906164, 8771.898180, 14806.075520, 13326.091463, 
131072, 17.000, 5338.093445, 17813.560022, 0.000000, 4547.246239, 3741.939118, 8360.570323, 13980.944078, 12660.112709, 
262144, 18.000, 4532.517066, 13600.831177, 0.000000, 4144.361159, 3444.662034, 7084.972973, 12357.268281, 13209.514001, 
524288, 19.000, 4609.506131, 6004.069627, 0.000000, 4268.400872, 2277.142106, 6631.608660, 9054.296195, 9401.576765, 
1048576, 20.000, 4078.977704, 4536.123593, 0.000000, 3859.126040, 1894.634517, 5937.979931, 6642.274363, 6138.952151, 
2097152, 21.000, 4015.755846, 3381.061990, 0.000000, 3582.163442, 1410.766885, 5065.788478, 6396.325276, 5861.357929, 
