size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, 0.191972, 0.183550, 0.167042, 0.161478, 0.167836, 0.175266, 0.000000, 0.000000, 
4, 2.000, 0.154372, 0.153358, 0.155883, 0.150911, 0.155437, 0.161969, 0.000000, 0.000000, 
8, 3.000, 0.161378, 0.152344, 0.150171, 0.153404, 0.159694, 0.165583, 0.000000, 0.000000, 
16, 4.000, 0.156730, 0.152881, 0.153729, 0.151341, 0.153418, 0.153551, 0.152200, 0.152514, 
32, 5.000, 0.153655, 0.152034, 0.151181, 0.156857, 0.157391, 0.153096, 0.150180, 0.150869, 
64, 6.000, 0.154662, 0.150166, 0.150149, 0.152497, 0.153279, 0.152123, 0.150830, 0.150429, 
128, 7.000, 0.153094, 0.150919, 0.150850, 0.155621, 0.152716, 0.154891, 0.150553, 0.150263, 
256, 8.000, 0.150876, 0.150338, 0.150500, 0.154827, 0.155538, 0.150184, 0.150018, 0.151557, 
512, 9.000, 0.151075, 0.150260, 0.150781, 0.156908, 0.155556, 0.153225, 0.150276, 0.151108, 
1024, 10.000, 0.155545, 0.150352, 0.150252, 0.155545, 0.152464, 0.150293, 0.151540, 0.151810, 
2048, 11.000, 0.151250, 0.150527, 0.150130, 0.154089, 0.155157, 0.153750, 0.150418, 0.150019, 
4096, 12.000, 0.153881, 0.150556, 0.150556, 0.155048, 0.153967, 0.150231, 0.150875, 0.150180, 
8192, 13.000, 0.154030, 0.151304, 0.151304, 0.153564, 0.156403, 0.153768, 0.151862, 0.150400, 
16384, 14.000, 0.151148, 0.150484, 0.150484, 0.152595, 0.151753, 0.151967, 0.150105, 0.151135, 
32768, 15.000, 0.151731, 0.150917, 0.150917, 0.153756, 0.158309, 0.150622, 0.150125, 0.151985, 
65536, 16.000, 0.152262, 0.150535, 0.150535, 0.156132, 0.152820, 0.150618, 0.150848, 0.151077, 
131072, 17.000, 0.150271, 0.150103, 0.150103, 0.151905, 0.154823, 0.151914, 0.151407, 0.151363, 
262144, 18.000, 0.156158, 0.152651, 0.152651, 0.159398, 0.150681, 0.153180, 0.152739, 0.153601, 
524288, 19.000, 0.151275, 0.165912, 0.165912, 0.163364, 0.174982, 0.150212, 0.154027, 0.158933, 
1048576, 20.000, 0.154241, 0.184929, 0.184929, 0.163028, 0.221378, 0.176588, 0.157864, 0.170807, 
2097152, 21.000, 0.219337, 0.260511, 0.260511, 0.245886, 0.312172, 0.173873, 0.206557, 0.150273, 
