size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
96, 6.585, 0.014000, 2.275000, 77.511000, 0.008000, 0.135000, 0.003000, 0.003000, 0.003000, 
160, 7.322, 0.005000, 2.704000, 136.691000, 0.003000, 0.021000, 0.015000, 0.004000, 0.004000, 
192, 7.585, 0.005000, 2.183000, 135.479000, 0.003000, 0.073000, 0.005000, 0.005000, 0.004000, 
384, 8.585, 0.007000, 2.817000, 222.830000, 0.004000, 0.036000, 0.004000, 0.007000, 0.006000, 
480, 8.907, 0.009000, 5.036000, 380.913000, 0.004000, 0.040000, 0.004000, 0.006000, 0.006000, 
640, 9.322, 0.014000, 4.164000, 308.071000, 0.010000, 0.066000, 0.008000, 0.018000, 0.026000, 
768, 9.585, 0.020000, 3.741000, 308.065000, 0.006000, 0.070000, 0.016000, 0.025000, 0.026000, 
800, 9.644, 0.021000, 5.468000, 305.166000, 0.005000, 0.059000, 0.005000, 0.021000, 0.022000, 
2400, 11.229, 0.030000, 8.578000, 8.578000, 0.035000, 0.221000, 0.009000, 0.038000, 0.037000, 
9216, 13.170, 0.211000, 6.095000, 6.095000, 0.060000, 0.756000, 0.061000, 0.092000, 0.088000, 
