size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
96, 6.585, 1.851602, 1.551686, 0.841375, 2.966667, 3.144066, 2.713765, 0.903906, 1.000000, 
160, 7.322, 1.734118, 0.739933, 0.698563, 4.053821, 4.819503, 2.976148, 0.866201, 1.000000, 
192, 7.585, 1.743306, 0.847606, 0.787522, 3.502125, 4.125568, 2.500371, 0.751142, 1.000000, 
384, 8.585, 2.280101, 1.155065, 0.879879, 4.118928, 4.262775, 3.179038, 0.875866, 1.000000, 
480, 8.907, 3.032582, 1.201278, 1.116038, 4.748124, 4.199356, 3.161107, 0.871634, 1.000000, 
640, 9.322, 2.000465, 0.826651, 0.769754, 5.191770, 5.528330, 3.227754, 0.879308, 1.000000, 
768, 9.585, 2.629392, 0.970532, 0.875744, 4.517232, 5.078442, 3.318114, 0.876409, 1.000000, 
800, 9.644, 3.241363, 0.951706, 0.925472, 4.473320, 5.281252, 3.256871, 0.867780, 1.000000, 
2400, 11.229, 1.802787, 0.815404, 0.815404, 4.148198, 4.216685, 2.866940, 0.875434, 1.000000, 
9216, 13.170, 1.277989, 0.471872, 0.471872, 2.961931, 3.124589, 2.162340, 0.909244, 1.000000, 
