size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
96, 6.585, 245000.000000, 294000.000000, 539000.000000, 156800.000000, 147000.000000, 166600.000000, 509600.000000, 460600.000000, 
160, 7.322, 156240.000000, 357840.000000, 378000.000000, 65520.000000, 55440.000000, 90720.000000, 307440.000000, 267120.000000, 
192, 7.585, 130200.000000, 268800.000000, 285600.000000, 67200.000000, 54600.000000, 92400.000000, 302400.000000, 231000.000000, 
384, 8.585, 56947.000000, 112057.000000, 146960.000000, 33066.000000, 31229.000000, 42251.000000, 148797.000000, 130427.000000, 
480, 8.907, 42630.000000, 107310.000000, 116130.000000, 27930.000000, 30870.000000, 41160.000000, 148470.000000, 129360.000000, 
640, 9.322, 33320.000000, 80360.000000, 86240.000000, 12740.000000, 12740.000000, 20580.000000, 75460.000000, 66640.000000, 
768, 9.585, 25296.000000, 67728.000000, 75072.000000, 14688.000000, 13056.000000, 20400.000000, 75072.000000, 66096.000000, 
800, 9.644, 20384.000000, 68208.000000, 69776.000000, 14896.000000, 12544.000000, 20384.000000, 74480.000000, 65072.000000, 
2400, 11.229, 6816.000000, 15123.000000, 15123.000000, 2982.000000, 2982.000000, 4473.000000, 14058.000000, 12354.000000, 
9216, 13.170, 1410.000000, 3807.000000, 3807.000000, 611.000000, 611.000000, 846.000000, 1974.000000, 1833.000000, 
