size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
96, 6.585, 5139.244170, 6132.580401, 11309.864893, 3207.586580, 3026.602618, 3506.507659, 10527.470098, 9515.835295, 
160, 7.322, 5928.806548, 13894.830692, 14717.736893, 2536.188463, 2133.261653, 3454.550648, 11869.358819, 10281.279133, 
192, 7.585, 6252.577924, 12859.950088, 13841.121595, 3112.452459, 2642.105016, 4359.426923, 14511.493191, 10900.191715, 
384, 8.585, 6206.088571, 12250.859755, 16082.381665, 3435.474198, 3319.543193, 4451.189393, 16155.984436, 14150.512653, 
480, 8.907, 6048.196659, 15268.447151, 16434.672570, 3862.929712, 4367.727294, 5802.283570, 21042.761559, 18341.583802, 
640, 9.322, 6550.421197, 15851.666756, 17023.477365, 2523.984622, 2370.308888, 4059.734269, 14902.445719, 13103.864961, 
768, 9.585, 6110.140912, 16553.649688, 18345.578134, 3556.576437, 3163.586607, 4841.929055, 18331.581309, 16066.002937, 
800, 9.644, 5109.898872, 17403.529265, 17897.010811, 3702.683982, 3136.217460, 5085.608040, 19086.798709, 16563.050813, 
2400, 11.229, 6118.608021, 13527.626683, 0.000000, 2659.105064, 2615.912762, 3847.496821, 12599.986682, 11030.600040, 
9216, 13.170, 5660.690137, 15331.227361, 0.000000, 2442.463149, 2315.314755, 3345.619921, 7956.494676, 7234.370462, 
