size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
96, 6.585, 0.150682, 0.151530, 0.150635, 0.154512, 0.153517, 0.150174, 0.153003, 0.152993, 
160, 7.322, 0.154362, 0.150852, 0.150441, 0.151324, 0.152228, 0.153825, 0.151722, 0.152186, 
192, 7.585, 0.151627, 0.152200, 0.150249, 0.157214, 0.150476, 0.154336, 0.151738, 0.154313, 
384, 8.585, 0.151249, 0.150769, 0.150622, 0.158648, 0.155067, 0.156459, 0.151810, 0.151927, 
480, 8.907, 0.150670, 0.150239, 0.151050, 0.154558, 0.151084, 0.151640, 0.150825, 0.150765, 
640, 9.322, 0.151737, 0.151224, 0.151118, 0.150570, 0.160332, 0.151218, 0.151048, 0.151702, 
768, 9.585, 0.152378, 0.150590, 0.150615, 0.152003, 0.151898, 0.155072, 0.150730, 0.151422, 
800, 9.644, 0.153882, 0.151185, 0.150396, 0.155190, 0.154291, 0.154617, 0.150528, 0.151553, 
2400, 11.229, 0.150104, 0.150637, 0.150637, 0.151108, 0.153603, 0.156652, 0.150338, 0.150912, 
9216, 13.170, 0.151163, 0.150696, 0.150696, 0.151813, 0.160150, 0.153458, 0.150564, 0.153765, 
