size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, 0.005000, 1.033000, 0.030000, 0.001000, 0.007000, 0.002000, 0.000000, 0.000000, 
4, 2.000, 0.001000, 0.067000, 0.035000, 0.002000, 0.007000, 0.004000, 0.000000, 0.000000, 
8, 3.000, 0.002000, 0.033000, 0.075000, 0.007000, 0.008000, 0.002000, 0.000000, 0.000000, 
16, 4.000, 0.002000, 0.060000, 0.037000, 0.002000, 0.019000, 0.003000, 0.000000, 0.000000, 
32, 5.000, 0.002000, 0.327000, 4.258000, 0.002000, 0.010000, 0.003000, 0.002000, 0.001000, 
64, 6.000, 0.003000, 0.409000, 13.038000, 0.002000, 0.023000, 0.003000, 0.002000, 0.002000, 
128, 7.000, 0.004000, 0.509000, 32.929000, 0.002000, 0.023000, 0.003000, 0.003000, 0.003000, 
256, 8.000, 0.006000, 1.009000, 72.838000, 0.003000, 0.052000, 0.006000, 0.018000, 0.005000, 
512, 9.000, 0.009000, 1.283000, 107.186000, 0.004000, 0.033000, 0.004000, 0.017000, 0.016000, 
1024, 10.000, 0.018000, 1.938000, 167.875000, 0.005000, 0.077000, 0.005000, 0.021000, 0.025000, 
2048, 11.000, 0.026000, 2.498000, 221.550000, 0.011000, 0.093000, 0.007000, 0.022000, 0.029000, 
4096, 12.000, 0.054000, 2.895000, 2.895000, 0.018000, 0.178000, 0.006000, 0.037000, 0.022000, 
8192, 13.000, 0.101000, 3.276000, 3.276000, 0.031000, 0.384000, 0.039000, 0.059000, 0.036000, 
16384, 14.000, 0.190000, 3.375000, 3.375000, 0.059000, 0.969000, 0.028000, 0.086000, 0.072000, 
32768, 15.000, 0.367000, 4.158000, 4.158000, 0.117000, 1.469000, 0.075000, 0.144000, 0.144000, 
65536, 16.000, 1.537000, 4.748000, 4.748000, 0.219000, 3.190000, 0.207000, 0.283000, 0.273000, 
131072, 17.000, 1.519000, 5.276000, 5.276000, 0.427000, 5.784000, 0.402000, 0.541000, 0.578000, 
262144, 18.000, 2.871000, 6.725000, 6.725000, 1.843000, 11.671000, 0.797000, 1.066000, 1.065000, 
524288, 19.000, 7.935000, 7.965000, 7.965000, 1.642000, 24.144000, 1.598000, 2.126000, 2.126000, 
1048576, 20.000, 11.811000, 16.273000, 16.273000, 3.040000, 50.007000, 3.423000, 4.195000, 4.208000, 
2097152, 21.000, 23.798000, 28.295000, 28.295000, 6.206000, 93.701000, 6.658000, 8.514000, 8.867000, 
