size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, inf, inf, inf, inf, inf, inf, 0.000000, 0.000000, 
4, 2.000, inf, inf, inf, inf, inf, inf, 0.000000, 0.000000, 
8, 3.000, inf, inf, inf, inf, inf, inf, 0.000000, 0.000000, 
16, 4.000, inf, inf, inf, inf, inf, inf, 0.000000, 0.000000, 
32, 5.000, 2.096822, 1.227780, 0.715045, 1.989765, 1.728307, 2.144588, 0.818586, 1.000000, 
64, 6.000, 1.936313, 1.480493, 1.059856, 2.554683, 3.138997, 2.623515, 0.863279, 1.000000, 
128, 7.000, 2.158253, 1.161164, 0.995924, 2.823660, 3.006539, 2.837559, 0.850533, 1.000000, 
256, 8.000, 2.670976, 1.295263, 1.128954, 4.225311, 5.117962, 3.418592, 0.874219, 1.000000, 
512, 9.000, 2.406250, 1.025039, 0.844482, 3.344961, 3.393370, 2.615150, 0.822445, 1.000000, 
1024, 10.000, 3.059215, 1.414434, 1.080893, 4.927163, 4.875661, 3.085650, 0.855219, 1.000000, 
2048, 11.000, 3.085571, 1.320060, 1.102348, 4.697507, 5.365219, 3.475503, 0.932563, 1.000000, 
4096, 12.000, 3.182759, 1.331413, 1.331413, 4.399785, 4.484987, 2.990819, 0.917309, 1.000000, 
8192, 13.000, 2.095468, 0.837148, 0.837148, 2.635965, 2.386741, 2.064016, 0.852801, 1.000000, 
16384, 14.000, 2.418549, 0.876081, 0.876081, 3.252583, 3.805160, 2.073784, 0.891564, 1.000000, 
32768, 15.000, 1.905506, 0.838099, 0.838099, 2.549769, 2.442562, 1.915457, 0.904532, 1.000000, 
65536, 16.000, 2.279789, 0.858859, 0.858859, 2.374605, 2.869133, 1.896401, 0.915780, 1.000000, 
131072, 17.000, 1.952539, 0.854131, 0.854131, 2.457585, 2.592015, 1.868857, 0.925983, 1.000000, 
262144, 18.000, 2.105189, 0.964096, 0.964096, 2.891314, 2.948629, 1.774961, 0.909998, 1.000000, 
524288, 19.000, 1.922976, 1.074395, 1.074395, 2.421932, 2.980024, 1.730862, 0.911222, 1.000000, 
1048576, 20.000, 1.796989, 0.930468, 0.930468, 2.160597, 4.072093, 1.991918, 1.047773, 1.000000, 
2097152, 21.000, 1.339296, 0.769293, 0.769293, 1.292710, 2.346784, 1.244897, 0.863280, 1.000000, 
