size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, 6338338.000000, 12676676.000000, 12676676.000000, 15845845.000000, 6338338.000000, 3169169.000000, 0.000000, 0.000000, 
4, 2.000, 3961460.000000, 10299796.000000, 10299796.000000, 13468964.000000, 4753752.000000, 2376876.000000, 0.000000, 0.000000, 
8, 3.000, 1584582.000000, 6602425.000000, 5017843.000000, 7130619.000000, 3697358.000000, 1584582.000000, 0.000000, 0.000000, 
16, 4.000, 1287468.000000, 3565296.000000, 3466260.000000, 2277828.000000, 1188432.000000, 1089396.000000, 0.000000, 0.000000, 
32, 5.000, 554596.000000, 950736.000000, 1624174.000000, 594210.000000, 673438.000000, 554596.000000, 1426104.000000, 1148806.000000, 
64, 6.000, 412650.000000, 544698.000000, 759276.000000, 313614.000000, 264096.000000, 313614.000000, 924336.000000, 808794.000000, 
128, 7.000, 205146.000000, 374922.000000, 438588.000000, 155628.000000, 148554.000000, 155628.000000, 516402.000000, 438588.000000, 
256, 8.000, 99008.000000, 204204.000000, 232050.000000, 61880.000000, 55692.000000, 77350.000000, 300118.000000, 262990.000000, 
512, 9.000, 44000.000000, 103125.000000, 125125.000000, 31625.000000, 31625.000000, 41250.000000, 127875.000000, 105875.000000, 
1024, 10.000, 20394.000000, 43878.000000, 57474.000000, 12978.000000, 12978.000000, 20394.000000, 72924.000000, 62418.000000, 
2048, 11.000, 9554.000000, 22199.000000, 26414.000000, 6182.000000, 5620.000000, 8430.000000, 31191.000000, 29224.000000, 
4096, 12.000, 4096.000000, 9728.000000, 9728.000000, 2944.000000, 2944.000000, 4352.000000, 14208.000000, 12928.000000, 
8192, 13.000, 1652.000000, 4071.000000, 4071.000000, 1298.000000, 1475.000000, 1652.000000, 4012.000000, 3422.000000, 
16384, 14.000, 729.000000, 1998.000000, 1998.000000, 567.000000, 459.000000, 864.000000, 1971.000000, 1755.000000, 
32768, 15.000, 360.000000, 828.000000, 828.000000, 276.000000, 288.000000, 360.000000, 756.000000, 684.000000, 
65536, 16.000, 138.000000, 354.000000, 354.000000, 132.000000, 108.000000, 162.000000, 336.000000, 306.000000, 
131072, 17.000, 74.000000, 168.000000, 168.000000, 58.000000, 56.000000, 78.000000, 154.000000, 144.000000, 
262144, 18.000, 33.000000, 71.000000, 71.000000, 24.000000, 24.000000, 39.000000, 75.000000, 69.000000, 
524288, 19.000, 16.000000, 28.000000, 28.000000, 13.000000, 10.000000, 17.000000, 33.000000, 30.000000, 
1048576, 20.000, 7.000000, 13.000000, 13.000000, 6.000000, 3.000000, 6.000000, 12.000000, 12.000000, 
2097152, 21.000, 3.000000, 5.000000, 5.000000, 3.000000, 2.000000, 3.000000, 4.000000, 4.000000, 
