size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, 267.970710, 788.811619, 679.084602, 1039.398958, 263.852254, 170.441328, 0.000000, 0.000000, 
4, 2.000, 897.501628, 2686.471133, 2658.663672, 3527.638304, 1219.293753, 625.888983, 0.000000, 0.000000, 
8, 3.000, 1212.365565, 5031.952595, 4007.221690, 5536.194876, 2774.318962, 1066.789195, 0.000000, 0.000000, 
16, 4.000, 2571.592929, 7445.392502, 7297.965629, 4816.054021, 2525.455487, 2122.053592, 0.000000, 0.000000, 
32, 5.000, 2889.310879, 4934.434504, 8472.754067, 3044.771531, 3505.390001, 2824.959250, 7401.027557, 6058.384422, 
64, 6.000, 5271.096681, 6894.002373, 9630.135553, 3995.215340, 3251.516990, 3890.389208, 11822.909486, 10206.541611, 
128, 7.000, 6005.319394, 11162.100506, 13014.049715, 4590.131539, 4310.933541, 4567.638265, 15238.716341, 12960.997368, 
256, 8.000, 6675.722131, 13766.048229, 15794.003284, 4219.952583, 3483.939642, 5215.785696, 20395.866152, 17830.538819, 
512, 9.000, 6688.703707, 15701.720184, 19058.725531, 4811.664642, 4743.008905, 6154.404051, 19569.583931, 16094.693296, 
1024, 10.000, 6916.105102, 14958.375891, 19574.336972, 4294.074007, 4339.447768, 6856.791631, 24739.491522, 21157.663509, 
2048, 11.000, 7057.775563, 16497.079672, 19755.341487, 4635.934090, 4058.968966, 6265.912645, 23351.994257, 21777.444230, 
4096, 12.000, 6650.016582, 15897.022940, 0.000000, 4810.525322, 4719.156247, 7076.769246, 23073.189634, 21165.572676, 
8192, 13.000, 5744.736031, 14379.704542, 0.000000, 4566.838506, 5043.687107, 5832.302072, 14115.869196, 12037.858464, 
16384, 14.000, 5487.500131, 15148.887963, 0.000000, 4080.373475, 3487.805156, 6399.785060, 14885.816036, 13271.798388, 
32768, 15.000, 5878.957021, 13366.523470, 0.000000, 4393.631382, 4586.411617, 5848.488855, 12384.900378, 11202.697713, 
65536, 16.000, 4643.170757, 12325.046950, 0.000000, 4457.714396, 3689.450522, 5581.783865, 11558.953820, 10585.387173, 
131072, 17.000, 5405.792894, 12357.445730, 0.000000, 4294.843409, 4072.153095, 5647.782565, 11398.549581, 10554.884143, 
262144, 18.000, 5089.742168, 11113.839785, 0.000000, 3705.846041, 3633.879091, 6036.578252, 11774.500932, 10714.755549, 
524288, 19.000, 5079.953849, 9092.311925, 0.000000, 4033.386572, 3278.050835, 5643.780628, 10720.272370, 9768.575202, 
1048576, 20.000, 4550.659657, 8788.441527, 0.000000, 3784.835286, 2008.150758, 4105.327861, 7804.711516, 8177.359545, 
2097152, 21.000, 3688.664247, 6421.725284, 0.000000, 3821.628495, 2105.111326, 3968.395228, 5722.626887, 4940.259688, 
