size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, 0.236531, 0.160706, 0.186673, 0.152452, 0.240223, 0.185939, 0.000000, 0.000000, 
4, 2.000, 0.176555, 0.153358, 0.154962, 0.152725, 0.155951, 0.151904, 0.000000, 0.000000, 
8, 3.000, 0.156842, 0.157452, 0.150264, 0.154560, 0.159925, 0.178245, 0.000000, 0.000000, 
16, 4.000, 0.160208, 0.153235, 0.151988, 0.151349, 0.150586, 0.164278, 0.000000, 0.000000, 
32, 5.000, 0.153558, 0.154139, 0.153355, 0.156126, 0.153692, 0.157056, 0.154152, 0.151698, 
64, 6.000, 0.150308, 0.151700, 0.151380, 0.150715, 0.155947, 0.154776, 0.150109, 0.152146, 
128, 7.000, 0.153040, 0.150478, 0.150981, 0.151894, 0.154380, 0.152642, 0.151816, 0.151599, 
256, 8.000, 0.151870, 0.151899, 0.150449, 0.150156, 0.163690, 0.151859, 0.150678, 0.151034, 
512, 9.000, 0.151563, 0.151321, 0.151263, 0.151432, 0.153624, 0.154426, 0.150552, 0.151563, 
1024, 10.000, 0.150977, 0.150187, 0.150333, 0.154742, 0.153124, 0.152283, 0.150921, 0.151047, 
2048, 11.000, 0.152479, 0.151572, 0.150606, 0.150205, 0.155960, 0.151543, 0.150452, 0.151156, 
4096, 12.000, 0.151373, 0.150390, 0.150390, 0.150403, 0.153315, 0.151135, 0.151334, 0.150111, 
8192, 13.000, 0.153124, 0.150749, 0.150749, 0.151343, 0.155721, 0.150825, 0.151341, 0.151368, 
16384, 14.000, 0.152360, 0.151263, 0.151263, 0.159368, 0.150931, 0.154834, 0.151856, 0.151658, 
32768, 15.000, 0.150492, 0.152238, 0.152238, 0.154382, 0.154323, 0.151276, 0.150017, 0.150053, 
65536, 16.000, 0.155824, 0.150586, 0.150586, 0.155250, 0.153473, 0.152164, 0.152402, 0.151560, 
131072, 17.000, 0.152511, 0.151464, 0.151464, 0.150456, 0.153212, 0.153867, 0.150522, 0.151998, 
262144, 18.000, 0.152968, 0.150722, 0.150722, 0.152794, 0.155820, 0.152425, 0.150280, 0.151932, 
524288, 19.000, 0.156875, 0.153383, 0.153383, 0.160534, 0.151942, 0.150028, 0.153321, 0.152962, 
1048576, 20.000, 0.161296, 0.155107, 0.155107, 0.166228, 0.156648, 0.153251, 0.161222, 0.153875, 
2097152, 21.000, 0.179090, 0.171450, 0.171450, 0.172859, 0.209206, 0.166466, 0.153916, 0.178291, 
