| input len | real FFTPack |real FFTWestim|real FFTWauto |  real   MKL  | real PFFFT-U |  real  PFFFT | cplx FFTPack |cplx FFTWestim|cplx FFTWauto |  cplx   MKL  | cplx PFFFT-U |  cplx  PFFFT |
|----------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|
|        2  |        295   |        788   |        788   |        286   |        n/a   |        n/a   |        452   |        809   |       1826   |        611   |        n/a   |        n/a   |
|        4  |        890   |       2354   |       2415   |       1060   |        n/a   |        n/a   |       1201   |       2574   |       6005   |       2334   |        n/a   |        n/a   |
|        8  |       1187   |       5500   |       5467   |       2765   |        n/a   |        n/a   |       1532   |       5369   |      11387   |       5426   |        n/a   |        n/a   |
|       16  |       2725   |       8261   |       8210   |       5483   |        n/a   |        n/a   |       3859   |       8692   |      14189   |      12822   |       7928   |       6150   |
|       32  |       3063   |       5435   |       7450   |       7221   |       6182   |       5209   |       4004   |      11505   |      15943   |      19294   |       9557   |       7857   |
|       64  |       5028   |       8183   |       9935   |      13695   |      10559   |       7722   |       5472   |      17084   |      19452   |      22705   |      13260   |      10652   |
|      128  |       5685   |      13557   |      14161   |      17328   |      13517   |      11229   |       5760   |      16673   |      22199   |      26272   |      14460   |      12023   |
|      256  |       7261   |      11517   |      16950   |      18356   |      19015   |      14937   |       7021   |      19144   |      24896   |      29258   |      17116   |      14819   |
|      512  |       6460   |      15381   |      18246   |      20852   |      21265   |      16191   |       6142   |      20587   |      23442   |      27652   |      18114   |      14367   |
|     1024  |       6766   |      17240   |      18467   |      21469   |      25386   |      19173   |       6001   |      18367   |      22036   |      24093   |      16025   |      13350   |
|     2048  |       6461   |      18066   |      17544   |      19180   |      17079   |      14159   |       5723   |      20831   |      20815   |      21781   |      14841   |      12760   |
|     4096  |       5952   |      16115   |        n/a   |      18311   |      12570   |      11305   |       6392   |      13574   |        n/a   |      20662   |      14890   |      12942   |
|     8192  |       5347   |      12090   |        n/a   |      16574   |      11129   |      10147   |       5812   |      12333   |        n/a   |      20512   |      11857   |      10663   |
|    16384  |       4834   |       9587   |        n/a   |      15875   |      10127   |       9183   |       5359   |      11473   |        n/a   |      18262   |      10703   |       9550   |
|    32768  |       4914   |      10240   |        n/a   |      14752   |       8464   |       7401   |       4811   |      10723   |        n/a   |      18431   |       9953   |       9015   |
|    65536  |       4946   |       8761   |        n/a   |      15041   |       8948   |       8022   |       5457   |      11287   |        n/a   |      16990   |       9920   |       8035   |
|   131072  |       5162   |       8830   |        n/a   |      15522   |       9068   |       7491   |       4878   |       9673   |        n/a   |      16312   |       9036   |       8519   |
|   262144  |       4600   |       7406   |        n/a   |      10102   |       8065   |       7836   |       4372   |       6826   |        n/a   |      11070   |       7043   |       6498   |
|   524288  |       4197   |       6170   |        n/a   |      10258   |       5756   |       5316   |       3890   |       4498   |        n/a   |       9037   |       4499   |       4147   |
|  1048576  |       3053   |       3860   |        n/a   |       8469   |       3739   |       3392   |       3664   |       2345   |        n/a   |       7748   |       4171   |       3933   |
|  2097152  |       2614   |       2807   |        n/a   |       7581   |       3472   |       3168   |       2718   |       2035   |        n/a   |       6858   |       4015   |       3847   |
