size, log2, FFTPack      , FFTW D(estim), FFTW D(auto) , Intel MKL    , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, 0.001000, 0.020000, 0.485000, 1.363000, 0.000000, 0.000000, 
4, 2.000, 0.002000, 0.026000, 0.601000, 0.009000, 0.000000, 0.000000, 
8, 3.000, 0.002000, 0.025000, 0.533000, 0.017000, 0.000000, 0.000000, 
16, 4.000, 0.020000, 0.028000, 0.606000, 0.007000, 0.003000, 0.001000, 
32, 5.000, 0.002000, 0.103000, 9.726000, 0.022000, 0.003000, 0.002000, 
64, 6.000, 0.004000, 0.049000, 31.074000, 0.013000, 0.004000, 0.003000, 
128, 7.000, 0.005000, 0.082000, 58.231000, 0.018000, 0.005000, 0.005000, 
256, 8.000, 0.007000, 0.055000, 91.595000, 0.020000, 0.008000, 0.026000, 
512, 9.000, 0.013000, 0.059000, 127.962000, 0.030000, 0.013000, 0.013000, 
1024, 10.000, 0.021000, 0.044000, 167.121000, 0.052000, 0.025000, 0.024000, 
2048, 11.000, 0.053000, 0.070000, 224.236000, 0.083000, 0.042000, 0.059000, 
4096, 12.000, 0.100000, 0.064000, 0.064000, 0.049000, 0.114000, 0.114000, 
8192, 13.000, 0.228000, 0.177000, 0.177000, 0.109000, 0.165000, 0.165000, 
16384, 14.000, 0.427000, 0.300000, 0.300000, 0.139000, 0.325000, 0.324000, 
32768, 15.000, 0.923000, 0.410000, 0.410000, 0.244000, 0.645000, 0.644000, 
65536, 16.000, 1.595000, 0.650000, 0.650000, 0.390000, 1.279000, 1.454000, 
131072, 17.000, 3.088000, 1.245000, 1.245000, 0.780000, 2.561000, 2.557000, 
262144, 18.000, 6.286000, 2.461000, 2.461000, 1.576000, 5.012000, 5.779000, 
524288, 19.000, 13.214000, 5.843000, 5.843000, 3.174000, 11.244000, 12.447000, 
1048576, 20.000, 29.182000, 9.813000, 9.813000, 11.966000, 24.317000, 24.794000, 
2097152, 21.000, 52.755000, 16.501000, 16.501000, 23.664000, 51.825000, 55.331000, 
