size, log2, FFTPack      , FFTW D(estim), FFTW D(auto) , Intel MKL    , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, inf, inf, inf, inf, 0.000000, 0.000000, 
4, 2.000, inf, inf, inf, inf, 0.000000, 0.000000, 
8, 3.000, inf, inf, inf, inf, 0.000000, 0.000000, 
16, 4.000, 1.593884, 0.707563, 0.433442, 0.479661, 0.775766, 1.000000, 
32, 5.000, 1.962447, 0.682874, 0.492808, 0.407213, 0.822051, 1.000000, 
64, 6.000, 1.946471, 0.623470, 0.547583, 0.469130, 0.803275, 1.000000, 
128, 7.000, 2.087301, 0.721102, 0.541593, 0.457613, 0.831435, 1.000000, 
256, 8.000, 2.110776, 0.774076, 0.595222, 0.506499, 0.865816, 1.000000, 
512, 9.000, 2.339278, 0.697893, 0.612883, 0.519573, 0.793185, 1.000000, 
1024, 10.000, 2.224576, 0.726828, 0.605805, 0.554094, 0.833044, 1.000000, 
2048, 11.000, 2.229721, 0.612538, 0.613011, 0.585806, 0.859779, 1.000000, 
4096, 12.000, 2.024645, 0.953433, 0.953433, 0.626366, 0.869140, 1.000000, 
8192, 13.000, 1.834535, 0.864616, 0.864616, 0.519846, 0.899329, 1.000000, 
16384, 14.000, 1.781904, 0.832322, 0.832322, 0.522923, 0.892249, 1.000000, 
32768, 15.000, 1.873967, 0.840799, 0.840799, 0.489154, 0.905771, 1.000000, 
65536, 16.000, 1.472398, 0.711836, 0.711836, 0.472906, 0.809933, 1.000000, 
131072, 17.000, 1.746372, 0.880744, 0.880744, 0.522261, 0.942834, 1.000000, 
262144, 18.000, 1.486303, 0.951966, 0.951966, 0.587003, 0.922625, 1.000000, 
524288, 19.000, 1.066092, 0.921847, 0.921847, 0.458859, 0.921824, 1.000000, 
1048576, 20.000, 1.073548, 1.677251, 1.677251, 0.507643, 0.943075, 1.000000, 
2097152, 21.000, 1.415148, 1.890607, 1.890607, 0.560939, 0.958065, 1.000000, 
