size, log2, FFTPack      , FFTW D(estim), FFTW D(auto) , Intel MKL    , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, 3959037.000000, 6598395.000000, 14516469.000000, 5278716.000000, 0.000000, 0.000000, 
4, 2.000, 2309433.000000, 4948785.000000, 11547165.000000, 4618866.000000, 0.000000, 0.000000, 
8, 3.000, 989757.000000, 3409163.000000, 7148245.000000, 3409163.000000, 0.000000, 0.000000, 
16, 4.000, 907258.000000, 2061950.000000, 3340359.000000, 3010447.000000, 1896994.000000, 1443365.000000, 
32, 5.000, 379385.000000, 1088670.000000, 1501045.000000, 1814450.000000, 907225.000000, 742275.000000, 
64, 6.000, 219936.000000, 673554.000000, 762903.000000, 893490.000000, 522348.000000, 419253.000000, 
128, 7.000, 97185.000000, 279775.000000, 374015.000000, 441750.000000, 244435.000000, 203205.000000, 
256, 8.000, 51520.000000, 140392.000000, 182896.000000, 215096.000000, 126224.000000, 109480.000000, 
512, 9.000, 20020.000000, 67496.000000, 76648.000000, 90376.000000, 59488.000000, 46904.000000, 
1024, 10.000, 8995.000000, 26985.000000, 32382.000000, 35466.000000, 23644.000000, 19789.000000, 
2048, 11.000, 3861.000000, 13923.000000, 13923.000000, 14508.000000, 9945.000000, 8541.000000, 
4096, 12.000, 1961.000000, 4187.000000, 4187.000000, 6307.000000, 4558.000000, 3975.000000, 
8192, 13.000, 840.000000, 1752.000000, 1752.000000, 2904.000000, 1680.000000, 1512.000000, 
16384, 14.000, 352.000000, 759.000000, 759.000000, 1199.000000, 704.000000, 627.000000, 
32768, 15.000, 150.000000, 330.000000, 330.000000, 565.000000, 305.000000, 280.000000, 
65536, 16.000, 80.000000, 162.000000, 162.000000, 244.000000, 142.000000, 116.000000, 
131072, 17.000, 33.000000, 66.000000, 66.000000, 110.000000, 61.000000, 58.000000, 
262144, 18.000, 14.000000, 22.000000, 22.000000, 36.000000, 23.000000, 21.000000, 
524288, 19.000, 6.000000, 7.000000, 7.000000, 14.000000, 7.000000, 7.000000, 
1048576, 20.000, 3.000000, 2.000000, 2.000000, 6.000000, 3.000000, 3.000000, 
2097152, 21.000, 1.000000, 1.000000, 1.000000, 3.000000, 2.000000, 2.000000, 
