size, log2, FFTPack      , FFTW D(estim), FFTW D(auto) , Intel MKL    , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, 451.828811, 809.087899, 1826.292555, 611.139334, 0.000000, 0.000000, 
4, 2.000, 1201.249919, 2574.491966, 6005.351536, 2333.526663, 0.000000, 0.000000, 
8, 3.000, 1532.269942, 5368.936776, 11386.559764, 5425.723607, 0.000000, 0.000000, 
16, 4.000, 3858.671168, 8692.188118, 14189.386715, 12822.177796, 7927.987567, 6150.279966, 
32, 5.000, 4003.535154, 11505.403049, 15942.805175, 19293.936252, 9557.470848, 7856.736481, 
64, 6.000, 5472.250055, 17084.325960, 19451.990120, 22704.873836, 13260.192773, 10651.569817, 
128, 7.000, 5759.872999, 16672.546124, 22198.500305, 26272.302464, 14459.980721, 12022.535360, 
256, 8.000, 7020.624127, 19143.938744, 24896.379443, 29257.570352, 17115.458596, 14818.942123, 
512, 9.000, 6141.791164, 20586.820583, 23442.182311, 27652.344774, 18113.623112, 14367.339298, 
1024, 10.000, 6001.042427, 18367.148346, 22036.330287, 24093.078673, 16025.162161, 13349.804996, 
2048, 11.000, 5722.559015, 20830.777159, 20814.603659, 21781.385510, 14840.786153, 12759.562328, 
4096, 12.000, 6392.139532, 13573.727311, 0.000000, 20661.543342, 14890.387622, 12941.676768, 
8192, 13.000, 5812.382803, 12332.590306, 0.000000, 20511.648748, 11856.570664, 10662.928661, 
16384, 14.000, 5359.181192, 11473.334915, 0.000000, 18262.105088, 10702.804536, 9549.654518, 
32768, 15.000, 4810.868303, 10722.513089, 0.000000, 18430.980587, 9953.364848, 9015.525306, 
65536, 16.000, 5456.963499, 11287.372471, 0.000000, 16990.347374, 9920.368838, 8034.852825, 
131072, 17.000, 4878.222034, 9672.701346, 0.000000, 16312.143699, 9035.662510, 8519.191831, 
262144, 18.000, 4372.160722, 6826.172875, 0.000000, 11070.299128, 7043.268803, 6498.287198, 
524288, 19.000, 3889.857796, 4498.352009, 0.000000, 9037.339485, 4498.555153, 4146.935397, 
1048576, 20.000, 3663.723555, 2345.033798, 0.000000, 7748.050812, 4170.614907, 3933.217052, 
2097152, 21.000, 2718.329013, 2034.743510, 0.000000, 6857.920209, 4015.279879, 3846.926534, 
