size, log2, FFTPack      , FFTW D(estim), FFTW D(auto) , Intel MKL    , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, 0.175245, 0.163107, 0.158972, 0.172750, 0.000000, 0.000000, 
4, 2.000, 0.153802, 0.153779, 0.153825, 0.158348, 0.000000, 0.000000, 
8, 3.000, 0.155026, 0.152395, 0.150667, 0.150800, 0.000000, 0.000000, 
16, 4.000, 0.150478, 0.151820, 0.150664, 0.150262, 0.153138, 0.150197, 
32, 5.000, 0.151620, 0.151396, 0.150643, 0.150468, 0.151877, 0.151162, 
64, 6.000, 0.154334, 0.151393, 0.150604, 0.151113, 0.151266, 0.151145, 
128, 7.000, 0.151180, 0.150354, 0.150964, 0.150656, 0.151462, 0.151442, 
256, 8.000, 0.150290, 0.150190, 0.150452, 0.150565, 0.151037, 0.151303, 
512, 9.000, 0.150204, 0.151078, 0.150666, 0.150603, 0.151334, 0.150434, 
1024, 10.000, 0.153488, 0.150446, 0.150475, 0.150737, 0.151084, 0.151792, 
2048, 11.000, 0.151996, 0.150574, 0.150691, 0.150053, 0.150963, 0.150798, 
4096, 12.000, 0.150790, 0.151616, 0.151616, 0.150038, 0.150456, 0.150969, 
8192, 13.000, 0.153907, 0.151291, 0.151291, 0.150775, 0.150898, 0.151011, 
16384, 14.000, 0.150658, 0.151740, 0.151740, 0.150597, 0.150877, 0.150601, 
32768, 15.000, 0.153253, 0.151272, 0.151272, 0.150675, 0.150616, 0.152654, 
65536, 16.000, 0.153723, 0.150495, 0.150495, 0.150587, 0.150093, 0.151384, 
131072, 17.000, 0.150734, 0.152039, 0.152039, 0.150259, 0.150428, 0.151701, 
262144, 18.000, 0.151093, 0.152075, 0.152075, 0.153446, 0.154087, 0.152487, 
524288, 19.000, 0.153653, 0.155013, 0.155013, 0.154316, 0.155006, 0.168149, 
1048576, 20.000, 0.171723, 0.178859, 0.178859, 0.162401, 0.150852, 0.159957, 
2097152, 21.000, 0.162012, 0.216441, 0.216441, 0.192654, 0.219363, 0.228963, 
