size, log2, FFTPack      , FFTW D(estim), FFTW D(auto) , Intel MKL    , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, 0.001000, 0.379000, 0.019000, 1.194000, 0.000000, 0.000000, 
4, 2.000, 0.001000, 0.026000, 0.081000, 0.013000, 0.000000, 0.000000, 
8, 3.000, 0.001000, 0.024000, 0.021000, 0.006000, 0.000000, 0.000000, 
16, 4.000, 0.001000, 0.031000, 0.023000, 0.008000, 0.000000, 0.000000, 
32, 5.000, 0.001000, 0.294000, 8.473000, 0.060000, 0.002000, 0.001000, 
64, 6.000, 0.001000, 0.407000, 25.482000, 0.009000, 0.002000, 0.003000, 
128, 7.000, 0.002000, 0.511000, 52.966000, 0.009000, 0.003000, 0.003000, 
256, 8.000, 0.004000, 1.081000, 132.786000, 0.018000, 0.005000, 0.003000, 
512, 9.000, 0.006000, 1.423000, 202.247000, 0.018000, 0.007000, 0.006000, 
1024, 10.000, 0.010000, 2.285000, 301.769000, 0.016000, 0.010000, 0.048000, 
2048, 11.000, 0.020000, 2.689000, 393.196000, 0.034000, 0.019000, 0.019000, 
4096, 12.000, 0.036000, 3.178000, 3.178000, 0.039000, 0.037000, 0.034000, 
8192, 13.000, 0.089000, 3.669000, 3.669000, 0.252000, 0.102000, 0.099000, 
16384, 14.000, 0.187000, 5.022000, 5.022000, 0.504000, 0.143000, 0.167000, 
32768, 15.000, 0.373000, 5.161000, 5.161000, 0.926000, 0.278000, 0.306000, 
65536, 16.000, 0.739000, 5.453000, 5.453000, 1.877000, 0.551000, 0.568000, 
131072, 17.000, 1.501000, 6.715000, 6.715000, 3.634000, 1.010000, 1.172000, 
262144, 18.000, 2.902000, 11.953000, 11.953000, 8.047000, 2.515000, 1.929000, 
524288, 19.000, 6.161000, 18.854000, 18.854000, 14.967000, 4.393000, 4.833000, 
1048576, 20.000, 13.575000, 25.168000, 25.168000, 34.599000, 9.498000, 11.366000, 
2097152, 21.000, 26.186000, 76.372000, 76.372000, 63.041000, 18.692000, 23.210000, 
