size, log2, FFTPack      , FFTW D(estim), FFTW D(auto) , Intel MKL    , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, inf, inf, inf, inf, 0.000000, 0.000000, 
4, 2.000, inf, inf, inf, inf, 0.000000, 0.000000, 
8, 3.000, inf, inf, inf, inf, 0.000000, 0.000000, 
16, 4.000, inf, inf, inf, inf, 0.000000, 0.000000, 
32, 5.000, 1.700560, 0.958409, 0.699209, 0.721386, 0.842606, 1.000000, 
64, 6.000, 1.535864, 0.943640, 0.777194, 0.563832, 0.731271, 1.000000, 
128, 7.000, 1.975052, 0.828268, 0.792947, 0.647987, 0.830717, 1.000000, 
256, 8.000, 2.057108, 1.297036, 0.881254, 0.813755, 0.785542, 1.000000, 
512, 9.000, 2.506324, 1.052627, 0.887354, 0.776431, 0.761380, 1.000000, 
1024, 10.000, 2.833920, 1.112133, 1.038233, 0.893063, 0.755260, 1.000000, 
2048, 11.000, 2.191477, 0.783728, 0.807037, 0.738200, 0.829028, 1.000000, 
4096, 12.000, 1.899485, 0.701530, 0.701530, 0.617367, 0.899349, 1.000000, 
8192, 13.000, 1.897647, 0.839272, 0.839272, 0.612246, 0.911754, 1.000000, 
16384, 14.000, 1.899746, 0.957844, 0.957844, 0.578436, 0.906810, 1.000000, 
32768, 15.000, 1.506100, 0.722752, 0.722752, 0.501701, 0.874406, 1.000000, 
65536, 16.000, 1.621818, 0.915590, 0.915590, 0.533317, 0.896446, 1.000000, 
131072, 17.000, 1.451060, 0.848311, 0.848311, 0.482606, 0.826087, 1.000000, 
262144, 18.000, 1.703449, 1.057952, 1.057952, 0.775634, 0.971601, 1.000000, 
524288, 19.000, 1.266740, 0.861659, 0.861659, 0.518289, 0.923565, 1.000000, 
1048576, 20.000, 1.111136, 0.878828, 0.878828, 0.400534, 0.907272, 1.000000, 
2097152, 21.000, 1.211606, 1.128416, 1.128416, 0.417825, 0.912402, 1.000000, 
