size, log2, FFTPack      , FFTW D(estim), FFTW D(auto) , Intel MKL    , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, 6324722.000000, 12649444.000000, 12649444.000000, 6324722.000000, 0.000000, 0.000000, 
4, 2.000, 3952950.000000, 9487080.000000, 9487080.000000, 4743540.000000, 0.000000, 0.000000, 
8, 3.000, 1581180.000000, 7115310.000000, 6851780.000000, 3689420.000000, 0.000000, 0.000000, 
16, 4.000, 1284699.000000, 3952920.000000, 3854097.000000, 2668221.000000, 0.000000, 0.000000, 
32, 5.000, 592935.000000, 1027754.000000, 1423044.000000, 1383515.000000, 1185870.000000, 988225.000000, 
64, 6.000, 395280.000000, 642330.000000, 790560.000000, 1070550.000000, 839970.000000, 609390.000000, 
128, 7.000, 190566.000000, 458770.000000, 479944.000000, 585814.000000, 458770.000000, 381132.000000, 
256, 8.000, 108080.000000, 169840.000000, 250128.000000, 271744.000000, 281008.000000, 219248.000000, 
512, 9.000, 42532.000000, 100156.000000, 119364.000000, 135828.000000, 138572.000000, 105644.000000, 
1024, 10.000, 20361.000000, 50594.000000, 54296.000000, 62934.000000, 74657.000000, 56764.000000, 
2048, 11.000, 8680.000000, 24080.000000, 23520.000000, 25760.000000, 22960.000000, 19040.000000, 
4096, 12.000, 3712.000000, 9856.000000, 9856.000000, 11264.000000, 7680.000000, 6912.000000, 
8192, 13.000, 1534.000000, 3422.000000, 3422.000000, 4720.000000, 3186.000000, 2891.000000, 
16384, 14.000, 648.000000, 1269.000000, 1269.000000, 2079.000000, 1350.000000, 1215.000000, 
32768, 15.000, 300.000000, 636.000000, 636.000000, 912.000000, 528.000000, 456.000000, 
65536, 16.000, 144.000000, 252.000000, 252.000000, 432.000000, 258.000000, 234.000000, 
131072, 17.000, 70.000000, 120.000000, 120.000000, 210.000000, 124.000000, 102.000000, 
262144, 18.000, 30.000000, 48.000000, 48.000000, 65.000000, 52.000000, 50.000000, 
524288, 19.000, 13.000000, 19.000000, 19.000000, 31.000000, 18.000000, 17.000000, 
1048576, 20.000, 5.000000, 6.000000, 6.000000, 13.000000, 6.000000, 5.000000, 
2097152, 21.000, 2.000000, 2.000000, 2.000000, 6.000000, 3.000000, 3.000000, 
