size, log2, FFTPack      , FFTW D(estim), FFTW D(auto) , Intel MKL    , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, 295.351776, 788.053702, 788.107711, 286.257756, 0.000000, 0.000000, 
4, 2.000, 889.863131, 2354.157956, 2415.305889, 1059.618241, 0.000000, 0.000000, 
8, 3.000, 1186.596958, 5500.146226, 5466.918443, 2765.025793, 0.000000, 0.000000, 
16, 4.000, 2725.085543, 8260.796082, 8210.086873, 5482.974493, 0.000000, 0.000000, 
32, 5.000, 3062.977432, 5434.832500, 7449.517079, 7220.520984, 6181.758945, 5208.791788, 
64, 6.000, 5027.508496, 8182.764935, 9935.168676, 13694.823106, 10559.157751, 7721.586252, 
128, 7.000, 5685.203772, 13556.693293, 14160.530555, 17328.342071, 13516.662282, 11228.562523, 
256, 8.000, 7261.353541, 11516.634992, 16950.311501, 18356.236213, 19015.509136, 14937.455223, 
512, 9.000, 6459.875541, 15381.090463, 18245.878708, 20852.476529, 21264.670410, 16190.543645, 
1024, 10.000, 6765.505425, 17239.881004, 18466.800409, 21468.733885, 25385.779749, 19172.852195, 
2048, 11.000, 6460.858130, 18066.094741, 17544.172124, 19180.116603, 17078.838788, 14158.825393, 
4096, 12.000, 5951.482682, 16114.444925, 0.000000, 18311.255284, 12570.006793, 11304.799718, 
8192, 13.000, 5347.318695, 12090.415765, 0.000000, 16573.722666, 11129.284018, 10147.323292, 
16384, 14.000, 4833.773927, 9587.112057, 0.000000, 15875.330541, 10126.545188, 9182.900260, 
32768, 15.000, 4913.987883, 10239.932914, 0.000000, 14752.005476, 8464.035380, 7401.040814, 
65536, 16.000, 4946.178016, 8761.369505, 0.000000, 15041.534354, 8948.551469, 8021.773006, 
131072, 17.000, 5162.398639, 8830.419878, 0.000000, 15521.821511, 9067.987844, 7490.964127, 
262144, 18.000, 4599.824531, 7406.263194, 0.000000, 10102.121156, 8064.590668, 7835.485414, 
524288, 19.000, 4196.913903, 6169.903768, 0.000000, 10257.551254, 5756.301718, 5316.421082, 
1048576, 20.000, 3052.711869, 3859.717919, 0.000000, 8468.919414, 3738.772017, 3392.022774, 
2097152, 21.000, 2614.390483, 2807.110295, 0.000000, 7581.154841, 3471.704523, 3167.584332, 
