size, log2, FFTPack      , FFTW D(estim), FFTW D(auto) , Intel MKL    , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, 0.214142, 0.160515, 0.160504, 0.220945, 0.000000, 0.000000, 
4, 2.000, 0.177688, 0.161197, 0.157116, 0.179066, 0.000000, 0.000000, 
8, 3.000, 0.159904, 0.155239, 0.150398, 0.160118, 0.000000, 0.000000, 
16, 4.000, 0.150859, 0.153125, 0.150219, 0.155724, 0.000000, 0.000000, 
32, 5.000, 0.154865, 0.151284, 0.152820, 0.153287, 0.153467, 0.151778, 
64, 6.000, 0.150957, 0.150716, 0.152778, 0.150090, 0.152734, 0.151527, 
128, 7.000, 0.150168, 0.151607, 0.151841, 0.151454, 0.152056, 0.152065, 
256, 8.000, 0.152415, 0.151013, 0.151107, 0.151592, 0.151325, 0.150300, 
512, 9.000, 0.151696, 0.150028, 0.150727, 0.150077, 0.150141, 0.150337, 
1024, 10.000, 0.154088, 0.150257, 0.150538, 0.150089, 0.150574, 0.151585, 
2048, 11.000, 0.151329, 0.150136, 0.151007, 0.151282, 0.151428, 0.151472, 
4096, 12.000, 0.153283, 0.150313, 0.150313, 0.151177, 0.150154, 0.150263, 
8192, 13.000, 0.152754, 0.150710, 0.150710, 0.151644, 0.152434, 0.151705, 
16384, 14.000, 0.153747, 0.151807, 0.151807, 0.150193, 0.152894, 0.151745, 
32768, 15.000, 0.150037, 0.152641, 0.152641, 0.151934, 0.153309, 0.151420, 
65536, 16.000, 0.152638, 0.150799, 0.150799, 0.150578, 0.151160, 0.152938, 
131072, 17.000, 0.151069, 0.151401, 0.151401, 0.150732, 0.152349, 0.151702, 
262144, 18.000, 0.153873, 0.152906, 0.152906, 0.151804, 0.152126, 0.150552, 
524288, 19.000, 0.154279, 0.153380, 0.153380, 0.150526, 0.155748, 0.159266, 
1048576, 20.000, 0.171745, 0.163003, 0.163003, 0.160959, 0.168276, 0.154565, 
2097152, 21.000, 0.168453, 0.156888, 0.156888, 0.174275, 0.190282, 0.208551, 
