| input len | real FFTPack |real FFTWestim|real FFTWauto |  real   MKL  | real PFFFT-U |  real  PFFFT | cplx FFTPack |cplx FFTWestim|cplx FFTWauto |  cplx   MKL  | cplx PFFFT-U |  cplx  PFFFT |
|----------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|
|        2  |        304   |        868   |        880   |        318   |        n/a   |        n/a   |        459   |        958   |       1655   |        665   |        n/a   |        n/a   |
|        4  |        908   |       2850   |       2853   |       1184   |        n/a   |        n/a   |       1312   |       3195   |       4862   |       2592   |        n/a   |        n/a   |
|        8  |       1258   |       5797   |       5910   |       3124   |        n/a   |        n/a   |       1834   |       6078   |       7425   |       6493   |        n/a   |        n/a   |
|       16  |       2896   |       8168   |       7299   |       5884   |        n/a   |        n/a   |       4786   |       9247   |      10039   |      15886   |       8857   |       7776   |
|       32  |       3308   |       4934   |       9189   |      10344   |       7068   |       6320   |       5007   |      11886   |      26918   |      25911   |      11489   |       9313   |
|       64  |       5146   |       6524   |      10503   |      17911   |      11330   |       9952   |       7084   |      30335   |      32528   |      39386   |      16133   |      13511   |
|      128  |       6163   |      10707   |      14123   |      26550   |      15054   |      13421   |       7746   |      37334   |      42157   |      44547   |      18693   |      15798   |
|      256  |       7597   |      13908   |      16424   |      27694   |      19994   |      17806   |       8149   |      40664   |      46179   |      58173   |      21752   |      18539   |
|      512  |       7314   |      15844   |      20293   |      31749   |      21862   |      19869   |       8135   |      44141   |      47398   |      56557   |      21545   |      18768   |
|     1024  |       7715   |      16911   |      20723   |      35923   |      25330   |      22888   |       7794   |      45183   |      48891   |      56880   |      23181   |      20386   |
|     2048  |       7555   |      18126   |      22675   |      39284   |      24854   |      22851   |       8295   |      43558   |      46698   |      46992   |      19901   |      17696   |
|     4096  |       7298   |      17018   |        n/a   |      35237   |      23627   |      21621   |       7451   |      32602   |        n/a   |      42105   |      19649   |      17810   |
|     8192  |       6890   |      17141   |        n/a   |      34535   |      18839   |      16728   |       6961   |      21997   |        n/a   |      42753   |      18247   |      16879   |
|    16384  |       6755   |      17737   |        n/a   |      33482   |      18414   |      16987   |       6504   |      20470   |        n/a   |      40319   |      17061   |      14407   |
|    32768  |       6062   |      14736   |        n/a   |      31672   |      16054   |      15050   |       7140   |      19176   |        n/a   |      38285   |      16133   |      14610   |
|    65536  |       5934   |      13381   |        n/a   |      30894   |      14176   |      13255   |       6071   |      18097   |        n/a   |      34245   |      15552   |      14604   |
|   131072  |       5857   |      12973   |        n/a   |      29783   |      14237   |      13168   |       6341   |      17113   |        n/a   |      32938   |      14928   |      14165   |
|   262144  |       5719   |      12480   |        n/a   |      28978   |      14729   |      13488   |       5884   |      16653   |        n/a   |      32979   |      15405   |      14564   |
|   524288  |       5644   |      11650   |        n/a   |      20417   |      14609   |      14545   |       6462   |       6171   |        n/a   |      22160   |      11337   |      10784   |
|  1048576  |       5478   |      11350   |        n/a   |      20498   |      10486   |       8495   |       5398   |       3691   |        n/a   |      17126   |       7981   |       7514   |
|  2097152  |       4159   |       6684   |        n/a   |      16795   |       6516   |       6067   |       4880   |       3749   |        n/a   |      16739   |       7105   |       6852   |
