size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Intel MKL    , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, 0.001000, 0.089000, 0.358000, 1.514000, 0.000000, 0.000000, 
4, 2.000, 0.001000, 0.087000, 0.356000, 0.008000, 0.000000, 0.000000, 
8, 3.000, 0.002000, 0.061000, 0.333000, 0.010000, 0.000000, 0.000000, 
16, 4.000, 0.001000, 0.036000, 0.427000, 0.009000, 0.002000, 0.002000, 
32, 5.000, 0.001000, 0.157000, 7.904000, 0.015000, 0.002000, 0.001000, 
64, 6.000, 0.002000, 0.039000, 25.291000, 0.011000, 0.002000, 0.002000, 
128, 7.000, 0.003000, 0.054000, 49.433000, 0.020000, 0.003000, 0.002000, 
256, 8.000, 0.003000, 0.059000, 78.547000, 0.014000, 0.004000, 0.004000, 
512, 9.000, 0.006000, 0.060000, 112.052000, 0.020000, 0.007000, 0.005000, 
1024, 10.000, 0.008000, 0.043000, 146.724000, 0.029000, 0.011000, 0.010000, 
2048, 11.000, 0.015000, 0.047000, 189.798000, 0.087000, 0.019000, 0.017000, 
4096, 12.000, 0.030000, 0.056000, 0.056000, 0.034000, 0.032000, 0.031000, 
8192, 13.000, 0.115000, 0.148000, 0.148000, 0.110000, 0.086000, 0.063000, 
16384, 14.000, 0.185000, 0.201000, 0.201000, 0.131000, 0.159000, 0.201000, 
32768, 15.000, 0.337000, 0.252000, 0.252000, 0.229000, 0.282000, 0.279000, 
65536, 16.000, 0.641000, 0.379000, 0.379000, 0.402000, 0.536000, 0.522000, 
131072, 17.000, 1.249000, 0.605000, 0.605000, 0.787000, 1.066000, 1.033000, 
262144, 18.000, 2.587000, 1.381000, 1.381000, 1.457000, 1.977000, 1.973000, 
524288, 19.000, 4.346000, 3.709000, 3.709000, 2.901000, 4.178000, 4.048000, 
1048576, 20.000, 10.146000, 6.161000, 6.161000, 7.677000, 9.365000, 9.429000, 
2097152, 21.000, 22.904000, 9.966000, 9.966000, 17.660000, 20.112000, 18.685000, 
