size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Intel MKL    , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, inf, inf, inf, inf, 0.000000, 0.000000, 
4, 2.000, inf, inf, inf, inf, 0.000000, 0.000000, 
8, 3.000, inf, inf, inf, inf, 0.000000, 0.000000, 
16, 4.000, 1.624594, 0.840931, 0.774544, 0.489497, 0.877978, 1.000000, 
32, 5.000, 1.859940, 0.783572, 0.345989, 0.359437, 0.810601, 1.000000, 
64, 6.000, 1.907413, 0.445400, 0.415379, 0.343054, 0.837508, 1.000000, 
128, 7.000, 2.039488, 0.423151, 0.374735, 0.354636, 0.845103, 1.000000, 
256, 8.000, 2.274928, 0.455897, 0.401454, 0.318685, 0.852270, 1.000000, 
512, 9.000, 2.307111, 0.425171, 0.395961, 0.331834, 0.871093, 1.000000, 
1024, 10.000, 2.615418, 0.451182, 0.416962, 0.358397, 0.879399, 1.000000, 
2048, 11.000, 2.133266, 0.406264, 0.378944, 0.376575, 0.889211, 1.000000, 
4096, 12.000, 2.390298, 0.546286, 0.546286, 0.422988, 0.906373, 1.000000, 
8192, 13.000, 2.424753, 0.767337, 0.767337, 0.394807, 0.925045, 1.000000, 
16384, 14.000, 2.214991, 0.703807, 0.703807, 0.357324, 0.844430, 1.000000, 
32768, 15.000, 2.046141, 0.761885, 0.761885, 0.381614, 0.905595, 1.000000, 
65536, 16.000, 2.405518, 0.806969, 0.806969, 0.426457, 0.939012, 1.000000, 
131072, 17.000, 2.233742, 0.827733, 0.827733, 0.430046, 0.948886, 1.000000, 
262144, 18.000, 2.475140, 0.874574, 0.874574, 0.441614, 0.945391, 1.000000, 
524288, 19.000, 1.668697, 1.747511, 1.747511, 0.486639, 0.951212, 1.000000, 
1048576, 20.000, 1.391954, 2.035537, 2.035537, 0.438765, 0.941546, 1.000000, 
2097152, 21.000, 1.404176, 1.827563, 1.827563, 0.409340, 0.964448, 1.000000, 
