size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Intel MKL    , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, 3569516.000000, 8923790.000000, 12493306.000000, 5354274.000000, 0.000000, 0.000000, 
4, 2.000, 2677134.000000, 6246646.000000, 9369969.000000, 4908079.000000, 0.000000, 0.000000, 
8, 3.000, 1189832.000000, 3866954.000000, 4759328.000000, 4164412.000000, 0.000000, 0.000000, 
16, 4.000, 1171233.000000, 2175147.000000, 2398239.000000, 3736791.000000, 2119374.000000, 1840509.000000, 
32, 5.000, 490798.000000, 1115450.000000, 2543226.000000, 2431681.000000, 1093141.000000, 892360.000000, 
64, 6.000, 278850.000000, 1189760.000000, 1273415.000000, 1542970.000000, 632060.000000, 529815.000000, 
128, 7.000, 131439.000000, 625331.000000, 708974.000000, 748804.000000, 314657.000000, 266861.000000, 
256, 8.000, 60970.000000, 297882.000000, 339690.000000, 426790.000000, 160264.000000, 135876.000000, 
512, 9.000, 27090.000000, 143964.000000, 154800.000000, 184212.000000, 70434.000000, 61146.000000, 
1024, 10.000, 11484.000000, 66468.000000, 71688.000000, 83520.000000, 34104.000000, 29928.000000, 
2048, 11.000, 5530.000000, 29072.000000, 31126.000000, 31442.000000, 13272.000000, 11850.000000, 
4096, 12.000, 2304.000000, 10008.000000, 10008.000000, 12888.000000, 6048.000000, 5472.000000, 
8192, 13.000, 990.000000, 3102.000000, 3102.000000, 6039.000000, 2574.000000, 2409.000000, 
16384, 14.000, 435.000000, 1350.000000, 1350.000000, 2640.000000, 1125.000000, 945.000000, 
32768, 15.000, 224.000000, 588.000000, 588.000000, 1169.000000, 497.000000, 448.000000, 
65536, 16.000, 87.000000, 261.000000, 261.000000, 492.000000, 225.000000, 210.000000, 
131072, 17.000, 43.000000, 116.000000, 116.000000, 222.000000, 101.000000, 96.000000, 
262144, 18.000, 19.000000, 53.000000, 53.000000, 105.000000, 49.000000, 47.000000, 
524288, 19.000, 10.000000, 10.000000, 10.000000, 34.000000, 18.000000, 17.000000, 
1048576, 20.000, 4.000000, 3.000000, 3.000000, 13.000000, 6.000000, 6.000000, 
2097152, 21.000, 2.000000, 2.000000, 2.000000, 6.000000, 3.000000, 3.000000, 
