size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Intel MKL    , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, 458.886311, 957.729685, 1654.928833, 664.796871, 0.000000, 0.000000, 
4, 2.000, 1311.790085, 3194.847652, 4862.275210, 2592.272427, 0.000000, 0.000000, 
8, 3.000, 1834.025986, 6077.966128, 7424.510845, 6492.564457, 0.000000, 0.000000, 
16, 4.000, 4786.373197, 9246.783971, 10039.329697, 15885.500668, 8856.614452, 7775.908743, 
32, 5.000, 5007.312563, 11885.692975, 26917.963339, 25910.810685, 11489.362149, 9313.303545, 
64, 6.000, 7083.638192, 30335.502805, 32527.862702, 39385.813142, 16132.875137, 13511.470032, 
128, 7.000, 7745.995698, 37333.940311, 42157.423465, 44546.512187, 18693.321310, 15797.894737, 
256, 8.000, 8149.175727, 40664.587163, 46179.205969, 58172.555806, 21752.314401, 18538.873174, 
512, 9.000, 8134.679222, 44141.577526, 47397.831172, 56557.500100, 21544.825682, 18767.660776, 
1024, 10.000, 7794.380704, 45183.008384, 48890.769108, 56879.808460, 23181.058207, 20385.727590, 
2048, 11.000, 8295.312989, 43557.729183, 46697.602408, 46991.433708, 19900.535532, 17695.899455, 
4096, 12.000, 7450.898612, 32601.215206, 0.000000, 42104.523436, 19649.493744, 17809.780556, 
8192, 13.000, 6961.212241, 21996.976428, 0.000000, 42753.015974, 18246.856732, 16879.214164, 
16384, 14.000, 6504.257358, 20469.981623, 0.000000, 40319.105133, 17061.137594, 14407.082563, 
32768, 15.000, 7140.386785, 19176.432026, 0.000000, 38285.373134, 16133.290185, 14610.227114, 
65536, 16.000, 6071.015340, 18097.307077, 0.000000, 34244.898241, 15552.584741, 14603.831997, 
131072, 17.000, 6341.284093, 17112.949153, 0.000000, 32937.970049, 14927.840063, 14164.785220, 
262144, 18.000, 5884.149012, 16652.708204, 0.000000, 32979.136269, 15405.234865, 14563.938112, 
524288, 19.000, 6462.445506, 6170.998117, 0.000000, 22160.068046, 11336.888507, 10783.697194, 
1048576, 20.000, 5398.283074, 3691.497439, 0.000000, 17125.200065, 7980.485949, 7513.980652, 
2097152, 21.000, 4879.799668, 3749.313991, 0.000000, 16739.061568, 7104.631864, 6852.193865, 
