size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Intel MKL    , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, 0.155573, 0.186353, 0.150983, 0.161080, 0.000000, 0.000000, 
4, 2.000, 0.163266, 0.156418, 0.154166, 0.151468, 0.000000, 0.000000, 
8, 3.000, 0.155701, 0.152694, 0.153847, 0.153939, 0.000000, 0.000000, 
16, 4.000, 0.156609, 0.150549, 0.152886, 0.150549, 0.153151, 0.151484, 
32, 5.000, 0.156826, 0.150157, 0.151169, 0.150157, 0.152230, 0.153305, 
64, 6.000, 0.151163, 0.150605, 0.150330, 0.150435, 0.150445, 0.150575, 
128, 7.000, 0.152039, 0.150077, 0.150683, 0.150613, 0.150820, 0.151354, 
256, 8.000, 0.153226, 0.150023, 0.150649, 0.150254, 0.150890, 0.150103, 
512, 9.000, 0.153455, 0.150286, 0.150496, 0.150086, 0.150644, 0.150131, 
1024, 10.000, 0.150873, 0.150639, 0.150148, 0.150360, 0.150651, 0.150332, 
2048, 11.000, 0.150181, 0.150360, 0.150159, 0.150735, 0.150243, 0.150858, 
4096, 12.000, 0.151990, 0.150888, 0.150888, 0.150452, 0.151287, 0.151018, 
8192, 13.000, 0.151455, 0.150180, 0.150180, 0.150429, 0.150229, 0.151991, 
16384, 14.000, 0.153405, 0.151274, 0.151274, 0.150190, 0.151249, 0.150454, 
32768, 15.000, 0.154194, 0.150713, 0.150713, 0.150080, 0.151417, 0.150717, 
65536, 16.000, 0.150265, 0.151226, 0.151226, 0.150650, 0.151698, 0.150783, 
131072, 17.000, 0.151095, 0.151040, 0.151040, 0.150181, 0.150759, 0.151015, 
262144, 18.000, 0.152364, 0.150177, 0.150177, 0.150232, 0.150086, 0.152276, 
524288, 19.000, 0.154144, 0.161424, 0.161424, 0.152838, 0.158162, 0.157038, 
1048576, 20.000, 0.155394, 0.170431, 0.170431, 0.159198, 0.157671, 0.167460, 
2097152, 21.000, 0.180500, 0.234924, 0.234924, 0.157859, 0.185964, 0.192815, 
