size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Intel MKL    , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, inf, inf, inf, inf, 0.000000, 0.000000, 
4, 2.000, inf, inf, inf, inf, 0.000000, 0.000000, 
8, 3.000, inf, inf, inf, inf, 0.000000, 0.000000, 
16, 4.000, inf, inf, inf, inf, 0.000000, 0.000000, 
32, 5.000, 1.910550, 1.280918, 0.687805, 0.610975, 0.894224, 1.000000, 
64, 6.000, 1.933968, 1.525522, 0.947514, 0.555631, 0.878337, 1.000000, 
128, 7.000, 2.177538, 1.253435, 0.950291, 0.505490, 0.891474, 1.000000, 
256, 8.000, 2.343955, 1.280281, 1.084171, 0.642963, 0.890554, 1.000000, 
512, 9.000, 2.716535, 1.254088, 0.979117, 0.625823, 0.908866, 1.000000, 
1024, 10.000, 2.966555, 1.353489, 1.104498, 0.637149, 0.903595, 1.000000, 
2048, 11.000, 3.024740, 1.260690, 1.007749, 0.581687, 0.919413, 1.000000, 
4096, 12.000, 2.962584, 1.270464, 1.270464, 0.613581, 0.915070, 1.000000, 
8192, 13.000, 2.427892, 0.975906, 0.975906, 0.484379, 0.887961, 1.000000, 
16384, 14.000, 2.514780, 0.957691, 0.957691, 0.507344, 0.922469, 1.000000, 
32768, 15.000, 2.482544, 1.021302, 1.021302, 0.475180, 0.937458, 1.000000, 
65536, 16.000, 2.233585, 0.990557, 0.990557, 0.429055, 0.935054, 1.000000, 
131072, 17.000, 2.248272, 1.014988, 1.014988, 0.442125, 0.924914, 1.000000, 
262144, 18.000, 2.358628, 1.080725, 1.080725, 0.465460, 0.915729, 1.000000, 
524288, 19.000, 2.577063, 1.248477, 1.248477, 0.712363, 0.995595, 1.000000, 
1048576, 20.000, 1.550639, 0.748436, 0.748436, 0.414410, 0.810105, 1.000000, 
2097152, 21.000, 1.458701, 0.907677, 0.907677, 0.361233, 0.931094, 1.000000, 
