size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Intel MKL    , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, 7276486.000000, 14552972.000000, 14552972.000000, 7276486.000000, 0.000000, 0.000000, 
4, 2.000, 3638240.000000, 10914720.000000, 10914720.000000, 4547800.000000, 0.000000, 0.000000, 
8, 3.000, 1819116.000000, 7276464.000000, 7579650.000000, 3941418.000000, 0.000000, 0.000000, 
16, 4.000, 1364340.000000, 3865630.000000, 3524545.000000, 2842375.000000, 0.000000, 0.000000, 
32, 5.000, 636692.000000, 955038.000000, 1728164.000000, 1955554.000000, 1364340.000000, 1227906.000000, 
64, 6.000, 416878.000000, 511623.000000, 833756.000000, 1402226.000000, 890603.000000, 795858.000000, 
128, 7.000, 211146.000000, 365445.000000, 479139.000000, 893310.000000, 511623.000000, 454776.000000, 
256, 8.000, 113664.000000, 206016.000000, 241536.000000, 408480.000000, 294816.000000, 262848.000000, 
512, 9.000, 48949.000000, 104214.000000, 132636.000000, 206849.000000, 143689.000000, 129478.000000, 
1024, 10.000, 22720.000000, 49700.000000, 61060.000000, 105790.000000, 74550.000000, 67450.000000, 
2048, 11.000, 10304.000000, 24150.000000, 30268.000000, 52486.000000, 33166.000000, 30590.000000, 
4096, 12.000, 4588.000000, 10508.000000, 10508.000000, 21608.000000, 14504.000000, 13320.000000, 
8192, 13.000, 1972.000000, 4896.000000, 4896.000000, 9792.000000, 5372.000000, 4760.000000, 
16384, 14.000, 899.000000, 2325.000000, 2325.000000, 4402.000000, 2418.000000, 2232.000000, 
32768, 15.000, 378.000000, 910.000000, 910.000000, 1946.000000, 980.000000, 924.000000, 
65536, 16.000, 174.000000, 384.000000, 384.000000, 888.000000, 408.000000, 384.000000, 
131072, 17.000, 81.000000, 177.000000, 177.000000, 402.000000, 192.000000, 180.000000, 
262144, 18.000, 37.000000, 80.000000, 80.000000, 185.000000, 94.000000, 86.000000, 
524288, 19.000, 17.000000, 36.000000, 36.000000, 62.000000, 44.000000, 44.000000, 
1048576, 20.000, 8.000000, 17.000000, 17.000000, 30.000000, 16.000000, 13.000000, 
2097152, 21.000, 3.000000, 5.000000, 5.000000, 12.000000, 5.000000, 5.000000, 
