size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Intel MKL    , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, 303.959480, 867.678971, 879.647246, 318.482015, 0.000000, 0.000000, 
4, 2.000, 907.908741, 2850.466167, 2852.552074, 1183.891290, 0.000000, 0.000000, 
8, 3.000, 1257.547627, 5797.324870, 5910.096882, 3124.286818, 0.000000, 0.000000, 
16, 4.000, 2895.957760, 8167.614822, 7299.367048, 5884.072972, 0.000000, 0.000000, 
32, 5.000, 3307.920509, 4933.907641, 9188.573859, 10344.041629, 7067.517078, 6319.924340, 
64, 6.000, 5145.847863, 6523.593330, 10503.116663, 17910.879952, 11330.376496, 9951.918095, 
128, 7.000, 6163.199875, 10706.979968, 14122.549048, 26549.744257, 15054.357156, 13420.611682, 
256, 8.000, 7596.641060, 13907.978086, 16423.710216, 27693.926032, 19994.409092, 17806.174426, 
512, 9.000, 7314.207444, 15843.658223, 20293.070191, 31749.147014, 21861.633187, 19869.276142, 
1024, 10.000, 7715.435992, 16910.491304, 20722.864093, 35922.854490, 25330.218730, 22888.349836, 
2048, 11.000, 7554.692772, 18125.614680, 22675.132151, 39283.589198, 24853.593768, 22850.703628, 
4096, 12.000, 7297.849117, 17017.990880, 0.000000, 35236.933612, 23627.260579, 21620.543168, 
8192, 13.000, 6890.005118, 17141.198888, 0.000000, 34535.354127, 18838.918591, 16728.077192, 
16384, 14.000, 6754.839031, 17737.263276, 0.000000, 33481.883211, 18414.660779, 16986.868576, 
32768, 15.000, 6062.247861, 14735.948763, 0.000000, 31671.697064, 16053.537387, 15049.721648, 
65536, 16.000, 5934.486411, 13381.450031, 0.000000, 30893.474098, 14175.674060, 13255.111860, 
131072, 17.000, 5856.783162, 12973.199653, 0.000000, 29782.553913, 14236.621166, 13167.616121, 
262144, 18.000, 5718.531290, 12480.406263, 0.000000, 28977.437859, 14729.049406, 13487.964901, 
524288, 19.000, 5643.855865, 11649.784685, 0.000000, 20417.306261, 14608.892829, 14544.611219, 
1048576, 20.000, 5478.131510, 11349.742453, 0.000000, 20497.615138, 10485.760000, 8494.514999, 
2097152, 21.000, 4159.208205, 6684.139656, 0.000000, 16795.344308, 6515.977984, 6067.044684, 
