size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Intel MKL    , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, 0.239390, 0.167723, 0.165441, 0.228474, 0.000000, 0.000000, 
4, 2.000, 0.160291, 0.153164, 0.153052, 0.153656, 0.000000, 0.000000, 
8, 3.000, 0.173587, 0.150617, 0.153899, 0.151385, 0.000000, 0.000000, 
16, 4.000, 0.150758, 0.151452, 0.154514, 0.154580, 0.000000, 0.000000, 
32, 5.000, 0.153980, 0.154853, 0.150462, 0.151241, 0.154435, 0.155433, 
64, 6.000, 0.155544, 0.150579, 0.152413, 0.150315, 0.150918, 0.153543, 
128, 7.000, 0.153481, 0.152909, 0.151994, 0.150737, 0.152253, 0.151811, 
256, 8.000, 0.153215, 0.151683, 0.150595, 0.151038, 0.150988, 0.151159, 
512, 9.000, 0.154191, 0.151549, 0.150590, 0.150108, 0.151434, 0.150140, 
1024, 10.000, 0.150771, 0.150477, 0.150861, 0.150780, 0.150688, 0.150882, 
2048, 11.000, 0.153632, 0.150078, 0.150358, 0.150496, 0.150313, 0.150790, 
4096, 12.000, 0.154504, 0.151748, 0.151748, 0.150705, 0.150864, 0.151408, 
8192, 13.000, 0.152402, 0.152091, 0.152091, 0.150977, 0.151839, 0.151518, 
16384, 14.000, 0.152638, 0.150333, 0.150333, 0.150785, 0.150595, 0.150695, 
32768, 15.000, 0.153239, 0.151766, 0.151766, 0.151002, 0.150026, 0.150888, 
65536, 16.000, 0.153722, 0.150452, 0.150452, 0.150701, 0.150899, 0.151886, 
131072, 17.000, 0.154083, 0.152004, 0.152004, 0.150381, 0.150253, 0.152298, 
262144, 18.000, 0.152651, 0.151232, 0.151232, 0.150624, 0.150569, 0.150430, 
524288, 19.000, 0.150026, 0.153914, 0.153914, 0.151247, 0.150013, 0.150676, 
1048576, 20.000, 0.153129, 0.157059, 0.157059, 0.153468, 0.160000, 0.160474, 
2097152, 21.000, 0.158829, 0.164719, 0.164719, 0.157330, 0.168970, 0.181473, 
