| input len | real FFTPack |real FFTWestim|real FFTWauto |  real  Green |  real   Kiss | real PFFFT-U |  real  PFFFT | cplx FFTPack |cplx FFTWestim|cplx FFTWauto |  cplx  Green |  cplx   Kiss | cplx PFFFT-U |  cplx  PFFFT |
|----------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|
|       96  |       3424   |       3852   |       5992   |       2283   |       2140   |       8275   |       7419   |       4058   |      20916   |      21540   |       2341   |       2029   |      10302   |       8273   |
|      160  |       4079   |       8430   |       8294   |       1768   |       1496   |      10606   |       9246   |       4611   |      22164   |      22164   |       2083   |       1934   |      11603   |      10115   |
|      192  |       4225   |       7323   |       8168   |       2253   |       1831   |      10703   |      10562   |       4468   |      23264   |      21723   |       2311   |       2465   |      12325   |      11093   |
|      384  |       4184   |       7531   |       9623   |       2510   |       2231   |      11994   |      11436   |       5034   |      22271   |      26085   |       2136   |       2288   |      14034   |      11746   |
|      480  |       4049   |       8387   |       9400   |       3326   |       2892   |      12581   |      10556   |       4586   |      10438   |      13917   |       3796   |       2847   |      10754   |      11229   |
|      640  |       4307   |       9018   |       9691   |       2153   |       1615   |      13459   |      12921   |       4998   |      26167   |      26314   |       2205   |       2058   |      13083   |      11319   |
|      768  |       4563   |       9126   |      11200   |       2765   |       2212   |      14242   |      13136   |       4688   |      14972   |      23138   |       2722   |       2571   |      14216   |      12098   |
|      800  |       4316   |      10165   |      11418   |       2367   |       1810   |      11975   |      12393   |       4410   |      13535   |      15208   |       2737   |       1217   |       6996   |       8669   |
|     2400  |       3299   |       7653   |      n/a     |       1583   |       1319   |      10292   |      12139   |       2898   |      12170   |      n/a     |       1739   |       1449   |       8982   |       9707   |
|     9216  |       4101   |       9741   |      n/a     |       2179   |       1666   |      13073   |      11407   |       4894   |      11326   |      n/a     |       1958   |       2097   |      13004   |      12864   |
